command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,name,volume,a,r,g,b,afrom,rfrom,gfrom,bfrom,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,intro,crossfade,delay,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,name2,focus,index,text,jp_text,jp_name,text_match
name,——！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,——！,――！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,,,,False
name,给五岁的你看这本书......伊利亚也真是缺乏常识。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,给五岁的你看这本书......伊利亚也真是缺乏常识。,5歳の君にその本を読ませて……イリヤは本当に常識が足りなかった。,ケルシー,True
name,他真的很喜欢这本书。那是盛夏的某天，他抱着你和书经过窗户，灌木丛映着阳光的橘色。他让你向我招手，你赌气别过脸去。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,他真的很喜欢这本书。那是盛夏的某天，他抱着你和书经过窗户，灌木丛映着阳光的橘色。他让你向我招手，你赌气别过脸去。,彼は本当にその本が大好きだった。ある真夏の日、君を抱え本を持ちながら窓の前を通った。茂みが陽光に橙色に染まっていた。彼は君に私に手を振れと言ったが、君は怒って顔を背けた。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,False
name,够了！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,够了！,もういい！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,False
name,当天晚上他问我——如果我们封锁了石棺，不把石棺内机械结构的存在透露给乌萨斯，能不能拯救更多人？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,当天晚上他问我——如果我们封锁了石棺，不把石棺内机械结构的存在透露给乌萨斯，能不能拯救更多人？,その夜彼は私に尋ねた――石棺を封じ、内部の機械構造の存在をウルサスに知らせなければ、もっと多くの人を救えるか？と。,ケルシー,True
name,能不能阻止乌萨斯把这些机械运用在战争之中？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,能不能阻止乌萨斯把这些机械运用在战争之中？,ウルサスがそれらの機械を戦争に利用するのを止められるか？,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,False
name,你想用这些，这些......这些花言巧语干扰我？！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,你想用这些，这些......这些花言巧语干扰我？！,お前はこの──この──このお世辞で俺を混乱させようっていうのか？！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,False
name,伊利亚是石棺封锁行动的发起者之一，他信奉的理念影响了他一生。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,伊利亚是石棺封锁行动的发起者之一，他信奉的理念影响了他一生。,イリヤは石棺封鎖作戦の発起人の一人だ。彼の信念は生涯にわたり彼に影響を与えた。,ケルシー,True
name,你继承了你父亲的斗志，但你父亲的身上不只有斗志......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,你继承了你父亲的斗志，但你父亲的身上不只有斗志......,お前は父の闘志を受け継いでいるが、父の中には闘志だけじゃない……,ケルシー,True
name,柳德米拉，你认定我是背叛者，你想杀我。你可以这么做。只不过——,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,柳德米拉，你认定我是背叛者，你想杀我。你可以这么做。只不过——,リュドミラ、お前は私を裏切り者と決めつけ、私を殺そうとしている。させよう。ただ――,ケルシー,True
name,既然选择了暴力这条路，就必定会面对比你更有力的事物。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,既然选择了暴力这条路，就必定会面对比你更有力的事物。,暴力の道を選べば、必ずお前より強大なものと向き合うことになる。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
name,哈哈......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,哈哈......,はは……,弑君者,True
name,你可以再嚣张一点。无论是什么术师，都没法看穿这片浓雾，也没法分辨出我的位置。,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,你可以再嚣张一点。无论是什么术师，都没法看穿这片浓雾，也没法分辨出我的位置。,もっと調子に乗ってみろ。どんな術師でもこの濃い霧を見破ることはできず、俺の位置を見つけられない。,弑君者,True
name,你会死的很惨。我一定，一定要你死得很惨。,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,你会死的很惨。我一定，一定要你死得很惨。,お前は悲惨な死を迎える。絶対に、絶対にお前を苦しめて死なせる。,弑君者,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,False
name,......（吐舌声）,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,......（吐舌声）,……（舌を出す）,レッド,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,False
name,为了科学家们，为了感染者，我当然要杀了你，乌萨斯豢养的恶鬼，渣滓！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,为了科学家们，为了感染者，我当然要杀了你，乌萨斯豢养的恶鬼，渣滓！,科学者たちのため、感染者たちのため、もちろんお前を殺す！ウルサスに飼い慣らされた悪鬼、クズめ！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,False
name,我看起来像个术师？虽然我是感染者没错......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181,我看起来像个术师？虽然我是感染者没错......,私が術師に見えるか？感染者なのは確かだが……,ケルシー,True
name,出来，mon3tr。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,出来，mon3tr。,出ろ、mon3tr。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,False
name,......？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,......？,……？,弑君者,True
name,......啊？什么......怎么回事？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,......啊？什么......怎么回事？,……あ？何だ……どうなっている？,弑君者,True
name,怎，怎么？你的脊椎？！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,怎，怎么？你的脊椎？！,な、なぜ？！お前の背骨が？！」,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,False
name,看来你自己并不受迷雾影响。你看得到。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,看来你自己并不受迷雾影响。你看得到。,どうやらお前自身は霧の影響を受けていないようだな。見えている。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,False
name,怎么会......怎么会......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,怎么会......怎么会......,どうして……どうして……,弑君者,True
name,呕......！什么，你是什么，你......你！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,呕......！什么，你是什么，你......你！,うっ……！お前は何者だ、あんたは……あんた……！,弑君者,True
name,那是什么！！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,那是什么！！,それは何だ！！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,False
name,我不是术师。我从不依赖源石技艺。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,我不是术师。我从不依赖源石技艺。,私は術師ではない。源石技術に頼ったことは一度もない。,ケルシー,True
name,去，mon3tr。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,去，mon3tr。,行け、mon3tr。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,False
name,（欢快的嘶鸣）,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,（欢快的嘶鸣）,（陽気なヴィヴィー）,Mon3tr,True
camerashake,,,,,,,,,,,,,,,,,,,,,true,0.4,10,12,30,90,true,,,,,,,,,,,,,,,,,,198,,,,False
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,False
name,唔，呃呃呃！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,唔，呃呃呃！,うっ、うげええ！,弑君者,True
name,什么东西！这是什么东西！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,什么东西！这是什么东西！,何だこれは！これは何だ！,弑君者,True
camerashake,,,,,,,,,,,,,,,,,,,,,true,0.4,10,12,30,90,true,,,,,,,,,,,,,,,,,,202,,,,False
name,啊啊啊啊，松手，松手啊，放开我！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,啊啊啊啊，松手，松手啊，放开我！,ああああ、離せ、離してくれ、離してくれ！,弑君者,True
camerashake,,,,,,,,,,,,,,,,,,,,,true,0.4,10,12,30,90,true,,,,,,,,,,,,,,,,,,204,,,,False
name,为什么它的壳我刺不穿？咿！别碰我，别碰我！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,为什么它的壳我刺不穿？咿！别碰我，别碰我！,なぜこいつの甲羅を刺せない？いや！触るな、触るな！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,False
name,湮灭她......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,湮灭她......,焼き尽くせ……,ケルシー,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,False
name,啊！！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,啊！！,ああ！！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,False
name,......头上的坠落物。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,......头上的坠落物。,……頭上の落下物だ。,ケルシー,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,False
name,（不满的尖啸）,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,（不满的尖啸）,（不満げな悲鳴）,Mon3tr,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,False
name,你闹太大了。楼要塌了，别让她被砸死。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,你闹太大了。楼要塌了，别让她被砸死。,騒ぎが大きすぎる。建物が崩れそうだ。彼女を潰させるな。,ケルシー,True
character,,,,,,,,,,,char_1502_crowns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,False
name,......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,......,……,弑君者,True
name,呜......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,呜......,うっ……,弑君者,True
name,......不......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,......不......,……だめ……,弑君者,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,False
name,（低声嗡鸣）,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,（低声嗡鸣）,（低くうなる）,Mon3tr,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,222,,,,False
name,杀了我吧。,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,杀了我吧。,殺してくれ。,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,224,,,,False
name,为什么？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,为什么？,なぜだ？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,226,,,,False
name,......你明明能轻松地杀掉我！你难道也喜欢玩弄猎物？！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,......你明明能轻松地杀掉我！你难道也喜欢玩弄猎物？！,……お前は簡単に俺を殺せるのに！獲物を弄ぶのが好きなのか？！,弑君者,True
name,杀不掉你，我还活着做什么？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,杀不掉你，我还活着做什么？,お前を殺せないなら、俺は生きている意味がない！,弑君者,True
name,不过你记着，就算死了，我也会永远诅咒你！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,不过你记着，就算死了，我也会永远诅咒你！,だが覚えておけ、たとえ死んでも、俺は永遠にお前を呪う！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,230,,,,False
name,......你真准备好受死了吗？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,......你真准备好受死了吗？,……お前、本当に死ぬ覚悟はできているのか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,232,,,,False
name,......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,......,……,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,234,,,,False
name,你想死吗？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,你想死吗？,死にたいのか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,236,,,,False
name,......呿......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,......呿......,……つっ……,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,238,,,,False
name,如果我是背叛者呢？杀了我以后，你是不是会好受些？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,如果我是背叛者呢？杀了我以后，你是不是会好受些？,もし私が裏切り者だったら？私を殺したら、少しは気が楽になるか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,240,,,,False
name,......不要......再说了！我会杀了你，我一定会！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,......不要......再说了！我会杀了你，我一定会！,……もう……言うな！お前を殺す、絶対に殺す！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,242,,,,False
name,伊利亚是我的学生，也是我的朋友。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,伊利亚是我的学生，也是我的朋友。,イリヤは私の弟子であり、友人でもある。,ケルシー,True
name,你父亲是我带过最好的研究员之一，他的无私和专注本可以将乌萨斯前推五年。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,你父亲是我带过最好的研究员之一，他的无私和专注本可以将乌萨斯前推五年。,お前の父は私が指導した中で最高の研究者の一人だ。その無私と集中力はウルサスの進展を5年早めることができた。,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,245,,,,False
name,别说了！为什么要和我说这些，为什么，我不想听，我不关心！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,别说了！为什么要和我说这些，为什么，我不想听，我不关心！,言うな！なぜそんなことを俺に言う？聞きたくない、興味もない！,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,247,,,,False
name,你想。因为你一直在怀疑自己。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,你想。因为你一直在怀疑自己。,考えてみろ。お前はずっと自分を疑っている。,ケルシー,True
name,你没有给谢尔盖解释的机会，所以我替他说。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,你没有给谢尔盖解释的机会，所以我替他说。,お前はセルゲイに説明させる機会を与えなかった。だから私が代わりに言う。,ケルシー,True
name,——我不会出卖任何人，哪怕是谢尔盖。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,——我不会出卖任何人，哪怕是谢尔盖。,――私は誰も裏切らない。セルゲイでさえも。,ケルシー,True
name,谢尔盖是个优柔寡断的人，但他并不贪婪。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,谢尔盖是个优柔寡断的人，但他并不贪婪。,セルゲイは優柔不断な人間だが、決して貪欲ではない。,ケルシー,True
name,他刚出生的儿女被乌萨斯掌握在手里，他为了拯救自己的亲人，把你父亲他们的行踪告知了当局。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,他刚出生的儿女被乌萨斯掌握在手里，他为了拯救自己的亲人，把你父亲他们的行踪告知了当局。,彼の生まれたばかりの子どもたちはウルサスに掌握されており、親族を救うためにお前の父たちの居場所を当局に知らせたのだ。,ケルシー,True
name,时至今日，米莎和亚历克斯都死了。他出卖了秘密，却谁也没能保住。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,时至今日，米莎和亚历克斯都死了。他出卖了秘密，却谁也没能保住。,今日に至るまで、ミーシャもアレックスも死んだ。彼は秘密を裏切ったが、誰も守れなかった。,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,254,,,,False
name,如果......如果之前是我去救米莎，也许她和碎骨......都不会死。,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,如果......如果之前是我去救米莎，也许她和碎骨......都不会死。,もし……もしあの時私がミーシャを救いに行っていれば、彼女もシュエグーも……死ななかったかもしれない。,弑君者,True
name,不......不对，不对！你明明拥有这种力量，为什么不救我父亲？！,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,不......不对，不对！你明明拥有这种力量，为什么不救我父亲？！,違う……違う！お前はそんな力を持っているのに、なぜ父を助けなかった？！,弑君者,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,False
name,（威胁的低鸣）,,,,,,,,,,Mon3tr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,（威胁的低鸣）,（威嚇的なうなり声）,Mon3tr,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,259,,,,False
name,......,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,......,……,ケルシー,True
name,因为我做不到。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,因为我做不到。,できなかったからだ。,ケルシー,True
name,我没法说服你父亲离开研究所。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,我没法说服你父亲离开研究所。,お前の父を研究所から説得して動かすことはできなかった。,ケルシー,True
name,柳德米拉，我在离开切尔诺伯格前把你送去了叙拉古，你却自己回到了那座城市。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,柳德米拉，我在离开切尔诺伯格前把你送去了叙拉古，你却自己回到了那座城市。,リュドミラ、私はチェルノボーグを離れる前にお前をシラクサに送ったが、お前は自らその街に戻った。,ケルシー,True
name,你看，你就像你父亲一样，有时候，意志连时间都能战胜。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,你看，你就像你父亲一样，有时候，意志连时间都能战胜。,見ろ、お前は父と同じだ。時には、意志が時間さえも打ち勝つことがある。,ケルシー,True
name,你总会回到切尔诺伯格，就像你会在这里遇到我。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,你总会回到切尔诺伯格，就像你会在这里遇到我。,お前は必ずチェルノボーグに戻ってくる。ここで私と出会うように。,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,266,,,,False
name,......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,......,……,弑君者,True
name,所以，这一切一点意义都没有？我父亲和我做的一切......都毫无意义？,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,所以，这一切一点意义都没有？我父亲和我做的一切......都毫无意义？,それで、このすべてはまったく意味がないのか？父と俺のしたすべては……無意味なのか？,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,269,,,,False
name,不。研究员们用他们的死保守了秘密。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,不。研究员们用他们的死保守了秘密。,いいえ。研究者たちは死をもって秘密を守った。,ケルシー,True
name,乌萨斯至今都无法解析石棺内的装置，他们放弃并封存了研究设施。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,乌萨斯至今都无法解析石棺内的装置，他们放弃并封存了研究设施。,ウルサスは今なお石棺の装置を解析できず、研究施設を放棄し封印した。,ケルシー,True
name,现在，只有些微的能量被回收利用，用于驱动切尔诺伯格的核心。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,现在，只有些微的能量被回收利用，用于驱动切尔诺伯格的核心。,現在はわずかなエネルギーが回収利用され、チェルノボーグの中核を動かしている。,ケルシー,True
name,“叛徒”，如果我真的配得上这个称号，那我就是乌萨斯的叛国者。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,“叛徒”，如果我真的配得上这个称号，那我就是乌萨斯的叛国者。,「裏切り者」、もし私が本当にその称号に値するなら、私はウルサスの裏切り者だ。,ケルシー,True
name,你父亲的努力是有意义的。即使乌萨斯已经掩盖了一切，你也还记得。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,你父亲的努力是有意义的。即使乌萨斯已经掩盖了一切，你也还记得。,お前の父の努力は意味があった。ウルサスがすべてを覆い隠しても、お前は覚えている。,ケルシー,True
name,我也会记得。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275,我也会记得。,私も忘れはしない。,ケルシー,True
character,,,,,,,,,,,char_144_red_7#1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,False
name,（哈欠）,,,,,,,,,,红,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,（哈欠）,（あくび）,レッド,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,278,,,,False
name,......但你做的一切，又是为了什么？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,......但你做的一切，又是为了什么？,……だが、お前のしていることは一体何のためだ？,ケルシー,True
name,乌萨斯清洗了整个研究所，屠杀了科学家天性里稀少又珍贵的悲悯。真正的背叛者是贪得无厌的帝国本身。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,乌萨斯清洗了整个研究所，屠杀了科学家天性里稀少又珍贵的悲悯。真正的背叛者是贪得无厌的帝国本身。,ウルサスは研究所を全体的に粛清し、科学者が生来持つ希少で貴重な慈悲を殺した。真の裏切り者は貪欲な帝国そのものだ。,ケルシー,True
name,看看你现在的样子，你杀了谢尔盖，杀了一个连自己儿女都没法保护的人。,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,看看你现在的样子，你杀了谢尔盖，杀了一个连自己儿女都没法保护的人。,お前の今の様子を見よ。お前はセルゲイを殺した。子どもすら守れなかった男を。,ケルシー,True
name,现在你来到了龙门，如果你和你的感染者同胞们真的夺下了这座城市，接下来你会怎么对待它的普通市民？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,现在你来到了龙门，如果你和你的感染者同胞们真的夺下了这座城市，接下来你会怎么对待它的普通市民？,今お前は龍門に来ている。もしお前と感染者仲間がこの街を本当に奪ったら、普通の市民たちをどう扱うつもりだ？,ケルシー,True
name,是杀光他们？是奴役他们？又或者是把他们赶到荒野里，让他们自生自灭？,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,是杀光他们？是奴役他们？又或者是把他们赶到荒野里，让他们自生自灭？,皆殺しにするか？奴隷にするか？それとも荒野へ追い出して放置するか？,ケルシー,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,2,284,,,,False
name,......我......,,,,,,,,,,弑君者,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,......我......,……俺は……,弑君者,True
character,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,char_1502_crowns,1,286,,,,False
