command,text_orig,key,is_skippable,fit_mode,time,volume,image,screenadapt,fadetime,block,name,a,r,g,b,intro,crossfade,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
name,塔露拉，我拿了盐过来。盐贩下个星期就会再来，到时候记得买些。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,172,塔露拉，我拿了盐过来。盐贩下个星期就会再来，到时候记得买些。,タルラ、塩を持ってきたよ。来週には塩売りがまた来るから、その時に買うのを忘れないでね。,アリーナ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,175,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,176,,,,False
character,,,,,,,,,,,avg_npc_078#2,,,,,,,,,,,,,,,177,,,,False
name,真是很感激你，阿丽娜。没你，奶奶还得再念叨个二十分钟。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,178,真是很感激你，阿丽娜。没你，奶奶还得再念叨个二十分钟。,本当に感謝しています、アリーナ。あなたがいなければ、おばあちゃんはあと二十分間もお説教していたはずです。,タルラ,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,False
name,我可听着呢！,,,,,,,,,,老妇,,,,,,,,,,,,,,,180,我可听着呢！,聞こえてるよ！,おばあさん,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,2,,,,,,,181,,,,False
name,你这回又去哪了？,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,182,你这回又去哪了？,今度はどこに行ってたの？,アリーナ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,1,,,,,,,183,,,,False
name,没有，只是出去走了走，采采风。喏，你要的风景画。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,184,没有，只是出去走了走，采采风。喏，你要的风景画。,いえ、ただちょっと外に散歩に行っただけです。はい、あなたが欲しかった風景画です。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,2,,,,,,,185,,,,False
name,啊，你居然还记得。真的很感谢你，塔露拉。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,186,啊，你居然还记得。真的很感谢你，塔露拉。,ああ、ちゃんと覚えていてくれたんだ。本当にありがとう、タルラ。,アリーナ,True
name,......,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,187,......,……,アリーナ,True
name,这个笔触......这不是附近的画工画的。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,188,这个笔触......这不是附近的画工画的。,この筆遣い……これは近くの絵描きのものじゃないね。,アリーナ,True
name,什米尔村的老画师只会用硬刷，他根本想不到用羽毛刷。这么软的末梢，这是夜眼的尾毛......脱皮以前的尾毛。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,189,什米尔村的老画师只会用硬刷，他根本想不到用羽毛刷。这么软的末梢，这是夜眼的尾毛......脱皮以前的尾毛。,シュミール村の年老いた画家は硬い刷毛しか使わないし、羽根ブラシなんて思いつきもしないよ。こんなに柔らかい筆先は、「夜目」の尾の毛……脱皮する前のものだね。,アリーナ,True
name,塔露拉，你去了城里。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,190,塔露拉，你去了城里。,タルラ、あなたは町に行ったね。,アリーナ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,1,,,,,,,191,,,,False
name,......瞒不住你。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,192,......瞒不住你。,……隠しきれませんね。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,2,,,,,,,193,,,,False
name,瞒我做什么呢？我不是宪兵，也不是税吏。,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,194,瞒我做什么呢？我不是宪兵，也不是税吏。,私に隠してどうするのさ？私は憲兵でも税吏でもないよ。,アリーナ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,1,,,,,,,195,,,,False
name,你不需要知道那些很危险的事情。,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,196,你不需要知道那些很危险的事情。,あんな危険なこと、あなたは知る必要ありません。,タルラ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,2,,,,,,,197,,,,False
name,那你就是身处危险之中了？,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,198,那你就是身处危险之中了？,じゃあ、危険なことに関わっているってこと？,アリーナ,True
character,,,,,,,,,,,avg_npc_078#2,,,,,,,avg_npc_079,1,,,,,,,199,,,,False
name,......,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,200,......,……,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,False
character,,,,,,,,,,,avg_npc_079,,,,,,,,,,,,,,,202,,,,False
,面前的鹿就像只精怪。白发的德拉克深切地感受到，如果不想让事情被阿丽娜知道，最好的方法就是让那些事情别发生。,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,False
character,,,,,,,,,,,avg_npc_078#2,,,,,,,,,,,,,,,204,,,,False
name,我说......阿丽娜，你也不用管那么——,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,205,我说......阿丽娜，你也不用管那么——,私が言いたいのは……アリーナ、そこまで気にしなくていいんですよ——,タルラ,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,False
stopmusic,,,,,,,,,2,,,,,,,,,,,,,,,,,208,,,,False
playsound,,$rungeneral,,,,0.9,,,,,,,,,,,,,,,,,,,,209,,,,False
name,不好了！不好了......！,,,,,,,,,,乌萨斯农民,,,,,,,,,,,,,,,210,不好了！不好了......！,大変だ！大変だ……！,ウルサス農民,True
character,,,,,,,,,,,avg_npc_093#2,,,,,,,,,,,,,,,211,,,,False
name,什么事儿慌慌张张的！门都不敲就冲进来！把门闩撞坏了可怎么办！,,,,,,,,,,老妇,,,,,,,,,,,,,,,212,什么事儿慌慌张张的！门都不敲就冲进来！把门闩撞坏了可怎么办！,どうしたってそんなに慌てて！ノックもしないで入ってきて……戸のカンヌキが壊れたらどうするの！」,おばあさん,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,False
name,感......感染者纠察队！,,,,,,,,,,乌萨斯农民,,,,,,,,,,,,,,,214,感......感染者纠察队！,感……感染者パトロール隊だ！」,ウルサス農民,True
name,老头子和人闹起来了！,,,,,,,,,,乌萨斯农民,,,,,,,,,,,,,,,215,老头子和人闹起来了！,おじいさんが誰かと揉めてるよ！」,ウルサス農民,True
character,,,,,,,,,,,avg_npc_093#4,,,,,,,,,,,,,,,216,,,,False
name,啥？！,,,,,,,,,,老妇,,,,,,,,,,,,,,,217,啥？！,なに？！,おばあさん,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,False
playsound,,$rungeneral,,,,0.9,,,,,,,,,,,,,,,,,,,,219,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,221,,,,False
character,,,,,,,,,,,avg_npc_079#4,,,,,,,,,,,,,,,222,,,,False
name,塔露拉！你去哪？,,,,,,,,,,阿丽娜,,,,,,,,,,,,,,,223,塔露拉！你去哪？,タルラ！どこへ行くの？」,アリーナ,True
character,,,,,,,,,,,avg_npc_093#4,,,,,,,,,,,,,,,224,,,,False
name,啊，刀！阿丽娜，别让她拿那东西！！,,,,,,,,,,老妇,,,,,,,,,,,,,,,225,啊，刀！阿丽娜，别让她拿那东西！！,あ、ナイフだ！アリーナ、あれを持たせないで！！,おばあさん,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,False
blocker,,,,,,,,,1,true,,1,0,0,0,,,,,,,,,,,228,,,,False
background,,,,,,,bg_snowconutry_4,coverall,,,,,,,,,,,,,,,,,,229,,,,False
playmusic,,$nervous_loop,,,,0.4,,,,,,,,,,$nervous_intro,,,,,,,,,,230,,,,False
blocker,,,,,,,,,2,true,,0,0,0,0,,,,,,,,,,,231,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,False
character,,,,,,,,,1,true,avg_npc_082,,,,,,,,,,,,,,,233,,,,False
delay,,,,,2,,,,,,,,,,,,,,,,,,,,,234,,,,False
name,再说一遍，老头，我现在把你腿打断，也一样能进去。,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,235,再说一遍，老头，我现在把你腿打断，也一样能进去。,もう一度言うぞ、じいさん。今この足を折っても、俺は中へ入れるんだ。」,感染者パトロール隊,True
character,,,,,,,,,,,avg_npc_092#5,,,,,,,,,,,,,,,236,,,,False
name,上次已经搜过了，现在又来干什么！现在连税都交不起了，你还要讹我们多少！,,,,,,,,,,老汉,,,,,,,,,,,,,,,237,上次已经搜过了，现在又来干什么！现在连税都交不起了，你还要讹我们多少！,前にも調べたじゃないか、今度は何しに来たんだ！税金も払えないのに、まだ私たちから何を奪うつもりなんだ！,老人,True
character,,,,,,,,,,,avg_npc_082,,,,,,,,,,,,,,,238,,,,False
name,这是例行检查！这回可不管你给不给好处，每两年都必做一次的检查......这个不干的话，连我们都要一起吃鞭子哩。,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,239,这是例行检查！这回可不管你给不给好处，每两年都必做一次的检查......这个不干的话，连我们都要一起吃鞭子哩。,これは定期検査だ！今回はワイロをもらうかどうか関係なく、2年に一度必ずやる検査なんだ……これをしなかったら俺たちも鞭で叩かれることになるんだ。」,感染者パトロール隊,True
name,不过，要是你们肯......,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,240,不过，要是你们肯......,まあ、お前たちがその気なら……,感染者パトロール隊,True
character,,,,,,,,,,,avg_npc_092#5,,,,,,,,,,,,,,,241,,,,False
name,什么都给不了了，已经什么都给不了了！我们没钱，没有首饰，连粮食也没有了！,,,,,,,,,,老汉,,,,,,,,,,,,,,,242,什么都给不了了，已经什么都给不了了！我们没钱，没有首饰，连粮食也没有了！,もう何も渡せません、もう本当に何もないんです！お金もないし、装飾品もないし、食糧もありません！」,老人,True
character,,,,,,,,,,,avg_npc_082,,,,,,,,,,,,,,,243,,,,False
name,那还废话什么？,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,244,那还废话什么？,だったら黙ってろ！,感染者パトロール隊,True
name,例行检查！快点让开！,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,245,例行检查！快点让开！,定期検査だ！早くどけ！」,感染者パトロール隊,True
character,,,,,,,,,,,avg_npc_092#5,,,,,,,,,,,,,,,246,,,,False
name,老爷，老爷！官员老爷，我们真的没什么东西能给了！如果真要拿走些啥，你就把我这条老命拿去吧！,,,,,,,,,,老汉,,,,,,,,,,,,,,,247,老爷，老爷！官员老爷，我们真的没什么东西能给了！如果真要拿走些啥，你就把我这条老命拿去吧！,お役人様、お役人様！本当にもう何も差し出せません！もし本当に何かを持っていくなら、この命を持っていってください！」,老人,True
character,,,,,,,,,,,avg_npc_082,,,,,,,,,,,,,,,248,,,,False
name,我叫你让开！,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,249,我叫你让开！,どけと言っているだろう！」,感染者パトロール隊,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,False
playsound,,$fightgeneral,,,,,,,,,,,,,,,,,,,,,,,,251,,,,False
camerashake,,,,,,,,,,true,,,,,,,,,,0.3,10,12,30,90,true,252,,,,False
delay,,,,,0.5,,,,,,,,,,,,,,,,,,,,,253,,,,False
playsound,,$bodyfalldown1,,,,,,,,,,,,,,,,,,,,,,,,254,,,,False
character,,,,,,,,,,,avg_npc_092#3,,,,,,,,,,,,,,,255,,,,False
camerashake,,,,,,,,,,false,,,,,,,,,,0.3,10,12,30,90,true,256,,,,False
name,啊！,,,,,,,,,,老汉,,,,,,,,,,,,,,,257,啊！,あっ！」,老人,True
name,呃......我的腿......,,,,,,,,,,老汉,,,,,,,,,,,,,,,258,呃......我的腿......,うっ……、俺の足が……,老人,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,False
playsound,,$d_gen_walk_n,,,,,,,,,,,,,,,,,,,,,,,,261,,,,False
character,,,,,,,,,1,true,avg_npc_078#4,,,,,,,,,,,,,,,262,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,263,,,,False
name,你在做什么？,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,264,你在做什么？,あなた、何をしているんですか？」,タルラ,True
character,,,,,,,,,,,avg_npc_082,,,,,,,,,,,,,,,265,,,,False
name,嗯？哪里来的小妞......,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,266,嗯？哪里来的小妞......,ん？どこの嬢ちゃんだ……,感染者パトロール隊,True
name,——喂。你这身衣服，从哪来的？农民可穿不起这个。,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,267,——喂。你这身衣服，从哪来的？农民可穿不起这个。,――おい、その服、どこで手に入れた？農民じゃそんなもん着られないぞ。」,感染者パトロール隊,True
character,,,,,,,,,,,avg_npc_078#4,,,,,,,,,,,,,,,268,,,,False
name,——,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,269,——,――,タルラ,True
name,我问的是，你在做什么？,,,,,,,,,,塔露拉,,,,,,,,,,,,,,,270,我问的是，你在做什么？,私が聞いているのは、あなたは何をしているのか、ということです。,タルラ,True
character,,,,,,,,,,,avg_npc_082,,,,,,,,,,,,,,,271,,,,False
name,啊？,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,272,啊？,あ？」,感染者パトロール隊,True
name,不准再靠近了！你想做什么？你的眼神......哈，多可怕的眼神啊！,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,273,不准再靠近了！你想做什么？你的眼神......哈，多可怕的眼神啊！,これ以上近づくなよ！何をするつもりだ？その目……ハッ、なんて怖い目をしてやがる！」,感染者パトロール队,True
name,——你想死吗！！,,,,,,,,,,感染者纠察队,,,,,,,,,,,,,,,274,——你想死吗！！,――死ぬ気か！！,感染者パトロール队,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,False
blocker,,,,,,,,,1,true,,,,,,,,,,,,,,,,276,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,,False
