command,text_orig,key,is_skippable,fit_mode,time,fadetime,block,a,r,g,b,image,screenadapt,volume,intro,name,name2,focus,options,values,references,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
name,......迷迭香应该要开始搜索了。屏住呼吸，不要看。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,190,,,,False
stopmusic,,,,,,2,,,,,,,,,,,,,,,,,,,,,,0,191,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,192,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,193,,,,False
name,——第一次——,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,194,,,,False
name,我......找到三个。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,195,,,,False
name,迷迭香......没问题的。过来些，再过来些。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,196,,,,False
name,......四个。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,197,,,,False
name,你的耳朵。我食指这样划过你的耳朵......你能听到。这些只是想象的拼接，你都看过。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,198,,,,False
name,嗯......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,199,,,,False
name,五个。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,200,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,202,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,203,,,,False
name,......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,204,,,,False
name,博士，你害怕受伤吗？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,205,,,,False
decision,......啊？,,,,,,,,,,,,,,,,,,......啊？,1,,,,,,,,1,206,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,207,,,,False
name,我们的三支作战队伍会分头作战。每支队伍负责不同区域内的敌人小队，瘫痪传令兵的，他们不能有任何发出讯号的机会。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,208,,,,False
name,甚至，我们的每个小队也会再重分配一次打击力量，这些我都已经规划完毕，你不用担心。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,209,,,,False
name,至于你，你要跟我走。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,210,,,,False
decision,和你？！,,,,,,,,,,,,,,,,,,和你？！;......诱饵。;真的要吗？,1;2;3,,,,,,,,3,211,,,,False
decision,真的要吗？,,,,,,,,,,,,,,,,,,和你？！;......诱饵。;真的要吗？,1;2;3,,,,,,,,3,212,,,,False
decision,......诱饵。,,,,,,,,,,,,,,,,,,和你？！;......诱饵。;真的要吗？,1;2;3,,,,,,,,3,213,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,214,,,,False
name,请跟着你的保险专人一起行动。你无权拒绝，我想。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,215,,,,False
name,游击队配备着类似乌萨斯军队的优良军备，操持着比乌萨斯军更严厉更有效的纪律与战术。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,216,,,,False
name,萨卡兹，乌萨斯，黎博利等各种族围绕在同一个名字之下。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,217,,,,False
name,在我的保护下，你才是安全的。我不希望迷迭香失手杀掉你，也不希望阿米娅再为保护你而分心。Raidian，你甚至还没见过她。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,218,,,,False
name,在我身边，就不会有无谓的麻烦。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,219,,,,False
name,......等等。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,220,,,,False
name,——迷迭香？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,221,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,222,,,,False
name,啊......唔......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,223,,,,False
playmusic,,$nervous_loop,,,,,,,,,,,,0.4,$nervous_intro,,,,,,,,,,,,,0,224,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1#2,,,,,,,,,,,,0,225,,,,False
camerashake,,,,,,,false,,,,,,,,,,,,,,,0.4,0,8,30,30,true,0,226,,,,False
name,Raidian，断开迷迭香的连接。现在！,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,227,,,,False
name,阿米娅，她的精神状态？,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,228,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,0,229,,,,False
name,可是、可是迷迭香......我摸索到的景象很稳定啊，没有任何奇怪的事情出现......不应该......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,230,,,,False
name,难道是......下坠？她......望着天空？,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,231,,,,False
name,......失落。她在失落。她在下坠。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,232,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1#2,,,,,,,,,,,,0,233,,,,False
name,体温降低，呼吸急促......内啡肽水平急剧降低。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,234,,,,False
decision,要紧急注射吗？,,,,,,,,,,,,,,,,,,要紧急注射吗？,1,,,,,,,,1,235,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,236,,,,False
name,（摇头）,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,237,,,,False
name,和Raidian使用辅助药物补充体力不同，迷迭香的源石技艺倾斜了她体内环境的恒定性，而且，并没有打破实质上的生理平衡。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,238,,,,False
name,注射激素能在数分钟内促进分泌，却会在事后令内分泌系统严重失调，甚至造成抑制机制丧失。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,239,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,240,,,,False
name,我......我......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,241,,,,False
name,丢下我？为什么......我要......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,242,,,,False
camerashake,,,,,,,false,,,,,,,,,,,,,,,0.4,0,8,30,30,true,0,243,,,,False
name,——为什么丢下我......？,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,244,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,245,,,,False
decision,但情况很凶险。,,,,,,,,,,,,,,,,,,但情况很凶险。,1,,,,,,,,1,246,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,247,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1#2,,,,,,,,,,,,0,248,,,,False
name,凶险不是我纵容自己无能的借口。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,249,,,,False
name,博士，损害生体机能的应急措施......我绝不会对他人使用。无论它多有效。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,250,,,,False
name,迷迭香遭遇的不是生理问题，那么，她的问题只能从她自身入手。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,251,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,252,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,0,254,,,,False
blocker,,,,,,2,true,0,0,0,0,,,,,,,,,,,,,,,,,0,255,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,256,,,,False
name,迷迭香。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,257,,,,False
name,迷迭香，看看我的手。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,258,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,259,,,,False
name,凯尔......希......医生......,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,260,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,2,,,,,,,,,,0,261,,,,False
name,看，医生的手。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,262,,,,False
name,现在医生正把手放在你的脸上。凯尔希医生正托着你的脸。看我的脸。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,263,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,1,,,,,,,,,,0,264,,,,False
name,......嗯。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,265,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,2,,,,,,,,,,0,266,,,,False
name,迷迭香，凯尔希没有太多时间陪伴你，阿米娅也是。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,267,,,,False
name,Outcast，Misery，煌，所有人都是。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,268,,,,False
name,但现在我和阿米娅，都在这里。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,269,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,1,,,,,,,,,,0,270,,,,False
name,嗯......嗯。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,271,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,2,,,,,,,,,,0,272,,,,False
name,加油，迷迭香。向前走。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,273,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,1,,,,,,,,,,0,274,,,,False
name,对，迷迭香......走到这里。走到这里来。这是甲板。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,275,,,,False
name,虽然很硬......但迷迭香，这是甲板，你可以踩在上面了。你不会踩空了。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,276,,,,False
name,这是罗德岛。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,277,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,2,,,,,,,,,,0,278,,,,False
name,我们和你一起。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,279,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,1,,,,,,,,,,0,280,,,,False
name,我和你一起。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,281,,,,False
stopmusic,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,282,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,283,,,,False
name,——我知道。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,284,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,285,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,286,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,287,,,,False
decision,她的呼吸......平稳下来了。,,,,,,,,,,,,,,,,,,她的呼吸......平稳下来了。,1,,,,,,,,1,288,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,289,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,290,,,,False
name,......医生......给我。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,291,,,,False
name,把......数据。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,292,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,char_003_kalts_1,2,,,,,,,,,,0,293,,,,False
name,——嗯。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,294,,,,False
name,Raidian，联通上迷迭香的终端。她没事了。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,295,,,,False
name,我保证。做吧。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,296,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,297,,,,False
name,——第二次。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,298,,,,False
name,七个。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,299,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301,,,,False
delay,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0,302,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1,,,,,,,,,,,,0,303,,,,False
playmusic,,$storyendjp_loop,,,,,,,,,,,,0.4,$storyendjp_intro,,,,,,,,,,,,,0,304,,,,False
name,我看到......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,305,,,,False
name,她......迷迭香现在站起来了。平静在她的意识里生长开花。嗯......就像毛绒绒的篮子一样，兜住了她的梦。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,306,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,0,307,,,,False
name,没问题。没问题了，凯尔希医生。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,308,,,,False
decision,毛绒绒的篮子......,,,,,,,,,,,,,,,,,,毛绒绒的篮子......,1,,,,,,,,1,309,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,310,,,,False
decision,很适合......你。,,,,,,,,,,,,,,,,,,......小猫？;可爱。;很适合......你。,1;2;3,,,,,,,,3,311,,,,False
decision,......小猫？,,,,,,,,,,,,,,,,,,......小猫？;可爱。;很适合......你。,1;2;3,,,,,,,,3,312,,,,False
decision,可爱。,,,,,,,,,,,,,,,,,,......小猫？;可爱。;很适合......你。,1;2;3,,,,,,,,3,313,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,314,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#5,,,,,,,,,,,,0,315,,,,False
name,（咦......？）,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,316,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,317,,,,False
name,噗。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,318,,,,False
name,阿米娅脸红了，博士。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,319,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#5,avg_npc_042,1,,,,,,,,,,0,320,,,,False
name,......我没想给你看这个呀！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,321,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#5,avg_npc_042,2,,,,,,,,,,0,322,,,,False
name,没事，嗯。没事。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,323,,,,False
name,再一次......再一次。阿米娅，我们向前走一点。我感受到了。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,324,,,,False
name,第三次。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,325,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,326,,,,False
name,......凯尔希医生。我找到了。全部。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,327,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,328,,,,False
name,我们准备好了。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,329,,,,False
character,,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,0,330,,,,False
name,唔，谢谢你。也谢谢你，阿米娅。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,331,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,1,,,,,,,,,,0,332,,,,False
name,该做的事情不要谢，迷迭香......别谢。像我喜欢说的那样，对吧？,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,333,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#3,avg_npc_042,2,,,,,,,,,,0,334,,,,False
name,嗯。但你带我走过了舰桥，走到了那座山上......云很好看。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,335,,,,False
name,路还很远。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,336,,,,False
name,阿米娅，我们行动吧。我们走下去。,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,337,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,338,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,339,,,,False
stopmusic,,,,,,3,,,,,,,,,,,,,,,,,,,,,,0,340,,,,False
name,Raidian，分别接通。你有五分钟时间稍事歇息。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,341,,,,False
name,阿米娅，迷迭香，保持通讯畅通。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,342,,,,False
character,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,0,343,,,,False
name,好。那么，Raidian，医生，迷迭香......,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,344,,,,False
name,作战开始。,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,345,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,347,,,,False
blocker,,,,,,2,true,1,0,0,0,,,,,,,,,,,,,,,,,0,348,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,0.5,,,,,,,,,,,,,,0,349,,,,False
blocker,,,,,,3,true,0,0,0,0,,,,,,,,,,,,,,,,,0,350,,,,False
playmusic,,$exciting_loop,,,,,,,,,,,,0.4,$exciting_intro,,,,,,,,,,,,,0,351,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,352,,,,False
name,你似乎还想问些什么。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,353,,,,False
decision,你的语气比过去缓和了许多。,,,,,,,,,,,,,,,,,,你的语气比过去缓和了许多。,1,,,,,,,,1,354,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,355,,,,False
name,你不会只是想问这个。如果你想，我可以更严厉地对待你。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,356,,,,False
decision,我还是希望你谈谈那个银发女孩。,,,,,,,,,,,,,,,,,,和我说说那只小猫。;......迷迭香。;我还是希望你谈谈那个银发女孩。,1;2;3,,,,,,,,3,357,,,,False
decision,......迷迭香。,,,,,,,,,,,,,,,,,,和我说说那只小猫。;......迷迭香。;我还是希望你谈谈那个银发女孩。,1;2;3,,,,,,,,3,358,,,,False
decision,和我说说那只小猫。,,,,,,,,,,,,,,,,,,和我说说那只小猫。;......迷迭香。;我还是希望你谈谈那个银发女孩。,1;2;3,,,,,,,,3,359,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,360,,,,False
name,刚才，你的运气其实不错。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,361,,,,False
name,退一步讲，也许迷迭香不讨厌你。她克制了自己的发泄。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,362,,,,False
name,否则在你因好奇观看我和阿米娅对她进行引导时，你大概会因为看到她法术的实体而咬断自己的舌头。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,363,,,,False
name,......迷迭香是在研究所里诞生的感染者。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,364,,,,False
name,和大多数实验感染者的悲惨遭遇不同：她没有因实验的日益残酷而随之死去。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,365,,,,False
name,随着项目的进展，整个研究所都被她一点一点地碾碎了。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,366,,,,False
name,不是研究所毁了她，是她毁了研究所。她的法术与她的精神状态连结在了一起。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,367,,,,False
name,找到她的组织秘密地把她渡让给罗德岛，以向外传达“迷迭香并不存在”的信号。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,368,,,,False
name,我知道你在想什么。不，无论是逼迫还是劝诱，我不允许任何一个有这种遭遇的感染者被编入干员队伍。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,369,,,,False
name,但是，迷迭香自己选择了责任、训练和伙伴关系。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,370,,,,False
name,在她无意识地施术不断造成损害的情况下，术师干员们决定训练她。她必须比其他人更快地成熟，而这同样是她自己的愿望。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,371,,,,False
name,我们不想把她弃置荒野。我们不想给她注射抑制药剂。我们不想让罗德岛也变成细碎的残渣。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,372,,,,False
name,这是我们不得已的解决方式。我们要训练她运用自己的法术，而不是放纵她，或是囚禁她。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,373,,,,False
name,她和阿米娅有一点很像，也有一点很不同。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,374,,,,False
decision,你这么说我不太懂。,,,,,,,,,,,,,,,,,,别卖关子了。;......说清楚。;你这么说我不太懂。,1;2;3,,,,,,,,3,375,,,,False
decision,......说清楚。,,,,,,,,,,,,,,,,,,别卖关子了。;......说清楚。;你这么说我不太懂。,1;2;3,,,,,,,,3,376,,,,False
decision,别卖关子了。,,,,,,,,,,,,,,,,,,别卖关子了。;......说清楚。;你这么说我不太懂。,1;2;3,,,,,,,,3,377,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,378,,,,False
name,那就听我说完吧，麻烦你。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,379,,,,False
name,她们的相像之处在于她们都愿意为了他人战斗不息。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,380,,,,False
name,至于不像的地方——,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,381,,,,False
name,如你所知，阿米娅从来都不曾想要与人为敌。即使她被逼迫去这么做，即使她流着泪努力去这么做。即使她最后毁灭了敌人，也一样。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,382,,,,False
name,但迷迭香，我可以说，博士，迷迭香......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,383,,,,False
name,她从没有放弃过哪怕一次任务。无论是怎样战况，她都会妥善处理，也都会胜利。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,384,,,,False
name,你看到的，是既理智又不可理喻的歼灭战专员，迷迭香。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,385,,,,False
name,她成为精英干员没有别的原因，仅仅因为她在各方面的考核都达标，而不是别的。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,386,,,,False
name,畏惧她的干员们最后了解到她真实的样子，愿意把自己的性命交给她......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,387,,,,False
name,原因只在于她会保护干员们，她也会为了干员们动用自己全部的力量。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,388,,,,False
name,要是说煌是带领着自己的小队走下去并获得了所有人的尊敬，那么，迷迭香就是在所有人的支撑下战斗着。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,389,,,,False
name,回应了所有人的期待，并且超越他们的期待。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,390,,,,False
decision,可让她参与这次作战也有现实的考量。,,,,,,,,,,,,,,,,,,可让她参与这次作战也有现实的考量。,1,,,,,,,,1,391,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,392,,,,False
name,也有其他的干员具备与迷迭香的索敌能力类似的源石技艺，需要的施术条件则不一而同。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,393,,,,False
name,迷迭香不只能做到定位，你看过她战斗的模样。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,394,,,,False
name,博士。我们允许迷迭香参与任务，确实是因为她就是最适合这片战场的干员，以及她也认为自己是最适合这场战斗的干员。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,395,,,,False
name,她的源石技艺也足以帮助我与阿米娅对抗敌游击队的领袖......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,396,,,,False
name,“整合运动的爱国者”。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,397,,,,False
decision,叶莲娜的......,,,,,,,,,,,,,,,,,,叶莲娜的......,1,,,,,,,,1,398,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,399,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,400,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,402,,,,False
name,凯尔希医生！废弃电车站，杂烩菜餐馆掉落的招牌后，第四中学门口，礼堂钟楼三楼！,,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,0,403,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,404,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,405,,,,False
name,收到。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,406,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,1,,,,,,,,,,,,,,0,407,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,408,,,,False
name,收到！凯尔希医生，我去礼堂！,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,0,409,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,410,,,,False
name,那我们去第四中学。博士，走。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,411,,,,False
decision,凯尔希医生，我能帮你指挥。,,,,,,,,,,,,,,,,,,凯尔希医生，我能帮你指挥。,1,,,,,,,,1,412,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,413,,,,False
character,,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,0,414,,,,False
name,——,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,415,,,,False
name,正有此意。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,416,,,,False
name,我，迷迭香，阿米娅将负责瘫痪传令兵。而你......,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,417,,,,False
name,博士，你要指挥各个小队的自由人，拖住游击队战士的脚步。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,418,,,,False
name,记住，我们只针对我们有能力去针对的敌人。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,419,,,,False
name,一旦游击队开始纠集，我们就立即撤退，我们为达成目标而来。我们没能力与他们正面对抗，也不要在脑海中独自勾勒类似的妄想。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,420,,,,False
name,这将是场漫长无比的战斗，我们的小队也可能出现伤亡，甚至完全落败。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,421,,,,False
name,那样的话，感染者的下一个黑暗纪元可能就此开始。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,422,,,,False
name,如果指挥部队拒不出现，也许是对我们最有利的结果。,,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,0,423,,,,False
