command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,name,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,options,values,references,effect,keep,amount,afrom,rfrom,gfrom,bfrom,name2,focus,x,y,xScale,yScale,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,option_number,index,text,jp_text,jp_name,text_match
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,172,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,173,,,,False
name,我停止战斗，就是背叛他们。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,174,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,175,,,,False
name,越来越多......我看到......越来越多。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,176,,,,False
name,爱国者先生......这么多，这么多的悔恨......从来都不说，你从来都不向任何人去倾诉吗？,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,177,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,178,,,,False
name,......,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,179,,,,False
name,我的悔恨，只有我能承受。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,180,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,181,,,,False
name,Mon3tr，别靠近他！,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,182,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,183,,,,False
name,我会想，为什么，殿下那样的人，也会遭遇不测？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,184,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,185,,,,False
name,——,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,186,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,187,,,,False
name,你不会回答我。殿下的死，至今都，扑朔迷离。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,188,,,,False
name,但我知道。她不曾逃避。她从头至尾，都只微笑面对。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,189,,,,False
name,我停止战斗，所有的反抗，都失去意义。我停止战斗，就是逃避。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,190,,,,False
name,我不可能停止。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,191,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,192,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,193,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,194,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,1,,,,,,,,,,,,,,,0,195,,,,False
background,,,,,,,,,,,bg_snow_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,196,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,197,,,,False
name,我们没有血缘关系吧？一直叫你爸爸，还挺奇怪的。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,198,,,,False
name,......你脸色有点不太好啊？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,199,,,,False
name,才没有！才不是因为......因为兄弟姐妹们害怕我呢！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,200,,,,False
name,哎哎，你有什么办法吗，让他们不因为你躲我躲得远远的办法？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
name,有的话，叫你爸爸也可以！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,202,,,,False
name,啊？要挟？那个词儿是什么意思啊，你还没有教我呢。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,203,,,,False
name,唉，你说哥哥学什么东西都很快，不像我这样只能按部就班地来......那哥哥现在在哪呢？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,204,,,,False
name,唉，唉？！为什么突然抱住我！你会冻伤的！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,205,,,,False
name,......你在哭吗？好像有水掉在我肩上了......,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,206,,,,False
name,没有？所有人都说爸爸无血无泪，那就是说爸爸不会哭吗？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,207,,,,False
name,可是爸爸明明会哭啊......,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,208,,,,False
name,......我前面只是瞎说的，瞎说的！爸爸哭，是因为冻得太疼了吗？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,209,,,,False
name,爸爸，爸爸！我不会再像刚才那么说了，而且，我长大以后，长大以后......长大以后一定给你做一种让你不会被冻坏的药！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,210,,,,False
name,这样你就不会再被疼哭了，对吗？我一定会快快长大的！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,211,,,,False
name,家人？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,212,,,,False
name,啊，是说，我的兄弟姐妹们，还有你我，都是家人？不在这里的哥哥也是？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,213,,,,False
name,嗯......这样的话，爸爸，就是大家的爸爸了！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,214,,,,False
name,我也一定会学习爸爸，帮外婆报仇，杀掉那些欺负我们的人！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,215,,,,False
name,不准这么说？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,216,,,,False
name,为什么！明明爸爸每天都在杀那些坏人！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,217,,,,False
name,......什么叫不想我成为爸爸这样的人？爸爸难道不是好人吗？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,218,,,,False
name,为什么爸爸也是坏人？！我不懂，你说明白！爸爸怎么会是坏人！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,219,,,,False
name,我讨厌爸爸。讨厌！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,220,,,,False
name,......不学爸爸，就能到城里去？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,221,,,,False
name,爸爸......你说，我们真的能到城里去吗？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,222,,,,False
name,你说的什么手指糖.....真的好吃吗？,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,223,,,,False
name,如果要不当爸爸这样的人才能吃到的话......唔......！,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,224,,,,False
name,我不懂。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,225,,,,False
name,爸爸......,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,226,,,,False
name,我想，不管怎么样，好人和坏人，我都可以当的。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,227,,,,False
name,只要永远和爸爸，还有兄弟姐妹们一起......一直在一起就好了。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,228,,,,False
name,爸爸是我的家人。我知道的，爸爸是我最好的家人了。,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,229,,,,False
name,当然啦，第二是......第三是......,,,,,,,,,,,,,,女儿,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,230,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,231,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,232,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,233,,,,False
background,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,234,,,,False
cameraeffect,,,,,,,,,0,,,,,,,,,,,,,,,,,Grayscale,true,0,,,,,,,,,,,,,,,0,235,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,236,,,,False
name,叶莲娜......叶莲娜......我的女儿。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,237,,,,False
name,我的女儿......父亲，什么，都没能，为你做到。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,238,,,,False
name,我什么，都没做到。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,239,,,,False
name,我亏欠你，太多。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,240,,,,False
name,太多。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,241,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,242,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,243,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,244,,,,False
background,,,,,,,,,,,bg_chercen_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,245,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,246,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,247,,,,False
name,......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,,,,False
name,太多了，太多了......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,249,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,250,,,,False
name,卡特斯女孩。你是，罗德岛的领袖。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,251,,,,False
name,你究竟，哪里出众？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,252,,,,False
name,你们有个成员，向我描述过你。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,253,,,,False
name,你们的战士，十分优秀。但仅仅优秀，还是会死。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,254,,,,False
name,你还有哪里，能让我，看到价值？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,255,,,,False
name,你想阻止，核心城，却无法，战胜我？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,256,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,257,,,,False
name,别想碰阿米娅！,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,258,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,259,,,,False
blocker,,,,,1,1,1,1,0.1,true,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,260,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,261,,,,False
blocker,,,,,0,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,262,,,,False
camerashake,,,,,,,,,,true,,,,,,,0.2,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,263,,,,False
blocker,,,,,1,1,1,1,0.1,true,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,264,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,265,,,,False
blocker,,,,,0,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,266,,,,False
camerashake,,,,,,,,,,true,,,,,,,0.3,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,267,,,,False
blocker,,,,,1,1,1,1,0.1,true,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,268,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,269,,,,False
blocker,,,,,0,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,270,,,,False
camerashake,,,,,,,,,,true,,,,,,,0.5,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,271,,,,False
delay,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0,272,,,,False
name,一把，两把，三把......第四把！,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,273,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,274,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,275,,,,False
blocker,,,,,1,1,1,1,0.1,true,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,0,276,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,277,,,,False
blocker,,,,,0,,,,2,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,278,,,,False
camerashake,,,,,,,,,,true,,,,,,,0.5,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,279,,,,False
delay,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,280,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,281,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,282,,,,False
blocker,,,,,1,0.95,0.95,0.95,0.2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,283,,,,False
blocker,,,,,0,0,0,0,0.25,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,284,,,,False
camerashake,,,,,,,,,,true,,,,,,,1,10,12,30,90,true,,,,,,,,,,,,,,,,,,,,,0,285,,,,False
stopmusic,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,286,,,,False
delay,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,287,,,,False
,盾，碎了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,288,,,,False
,戟，断了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,289,,,,False
,巨大的怪物，没有停下脚步。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,290,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,291,,,,False
camerashake,,,,,,,,,,false,,,,,,,0.4,0,8,30,30,true,,,,,,,,,,,,,,,,,,,,,0,292,,,,False
name,呵。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,293,,,,False
name,竟然能，钉穿铠甲。这副铠甲，终于到了极限。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,294,,,,False
character,,,,,,,,,,,,,,,avg_npc_042,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,295,,,,False
name,......你挣脱不了的......！,,,,,,,,,,,,,,迷迭香,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,296,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,297,,,,False
name,菲林，你很强大。你对我是威胁。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,298,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,299,,,,False
name,等等，爱国者先生。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301,,,,False
name,我离你，只有十步。不用再等。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,302,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,303,,,,False
name,你已经到极限了，我知道。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,,,,False
name,因为你毕竟不像霜星小姐，你并不是个术师......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,306,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,307,,,,False
playsound,,$p_skill_spiritexplo,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,308,,,,False
delay,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0,309,,,,False
camerashake,,,,,,,,,,false,,,,,,,1,10,8,20,90,true,,,,,,,,,,,,,,,,,,,,,0,310,,,,False
blocker,,,,,0.7,0.95,0.95,0.95,0.2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,311,,,,False
blocker,,,,,0,0.95,0.95,0.95,0.25,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,313,,,,False
name,那这一下就已经足够了。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,314,,,,False
name,这个法术里有......我看到的所有事情。我在你身上看到的所有。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,315,,,,False
name,......已经够了，爱国者先生。,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,316,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,317,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,318,,,,False
blocker,,,,,0.2,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,319,,,,False
,已经够了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,320,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,322,,,,False
playmusic,,$patriot_loop,,,,,,,,,,,$patriot_intro,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,323,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,324,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,325,,,,False
camerashake,,,,,,,,,,false,,,,,,,0.4,0,8,30,30,true,,,,,,,,,,,,,,,,,,,,,0,326,,,,False
name,居然......这是......什么？,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,327,,,,False
name,这一击，很精准。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,328,,,,False
name,我已，不再能挪步。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,329,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1#3,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,330,,,,False
name,......所有损伤，堆砌到了极限。,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,331,,,,False
name,博卓卡斯替......,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,332,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,333,,,,False
name,（我本打算，击溃你们，之后让游击队，假借你们名义，杀死塔露拉。）,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,334,,,,False
name,（现在，已经不必。你们胜了，你们名正言顺。去杀死，塔露拉。）,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,335,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,336,,,,False
name,（爱国者......先生？）,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,337,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,338,,,,False
name,（我怎么能允许，感染者，被奴役他人者，利用？）,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,339,,,,False
name,（我的命，你们拿去用。这是胜者的，战利品。）,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,340,,,,False
name,你们，胜了。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,341,,,,False
name,勋爵，这个，请拿好。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,342,,,,False
character,,,,,,,,,,,,,,,char_003_kalts_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,343,,,,False
name,——这是什么？,,,,,,,,,,,,,,凯尔希,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,344,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,345,,,,False
name,停下切城的秘钥。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,,,,False
name,如果你们，去舰桥区......你们要带上它。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,347,,,,False
character,,,,,,,,,,,,,,,char_002_amiya_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,348,,,,False
name,爱国者先生，你......只为了......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,349,,,,False
name,呜......,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,350,,,,False
character,,,,,,,,,,,,,,,avg_npc_025_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,351,,,,False
name,不。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,352,,,,False
name,我的确打算，杀了你们。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,353,,,,False
name,但现在，你们战胜了我。你们应得。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,354,,,,False
decision,为什么要做到这一步？,,,,,,,,,,,,,,,,,,,,,,为什么要做到这一步？,1,,,,,,,,,,,,,,,,,,,1,355,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,356,,,,False
name,因为我不信你们。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,357,,,,False
name,我只相信，战争的结果。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,358,,,,False
name,我女儿，只是天真，她会网开一面，也会假设结局。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,359,,,,False
name,我不会。我只等到结果。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,360,,,,False
name,而且，最好的结果......就是这样。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,361,,,,False
name,我的士兵，因为惊讶，没能发挥全力。他们活着。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,362,,,,False
name,只有我一人......为之而死。我死得其所。,,,,,,,,,,,,,,爱国者,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,363,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,364,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,365,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,366,,,,False
background,,,,,,,,,,,bg_corridor,coverall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,367,,,,False
blocker,,,,,0,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,368,,,,False
name,......怎么回事！,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,369,,,,False
name,可露希尔，生物处理室13号舱，给我图表！,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,370,,,,False
name,舱室的内部温度急剧升高！能量在外放！,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,371,,,,False
name,等等，它的形态在转化！经过十四小时的处理，为什么还会进入到这一阶段？,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,372,,,,False
