command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,image,fadetime,block,duration,xstrength,ystrength,vibrato,randomness,fadeout,name,a,r,g,b,width,height,name2,focus,options,values,references,initr,Delay,option_number,index,text,jp_text,jp_name,text_match
playsound,,$d_gen_surfacefrozen,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0,191,,,,False
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,0,192,,,,False
name,别让她唱完！！,,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,0,193,别让她唱完！！,歌い終わらせないで！！,アーミヤ,True
character,,,,,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,-1,,,,,,0,194,,,,False
decision,罗德岛，全力进攻！,,,,,,,,,,,,,,,,,,,,,,,,,,,罗德岛，全力进攻！,1,,,,1,195,罗德岛，全力进攻！,ロドス、全力で攻撃！,,True
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0,196,,,,False
playsound,,$flashback,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0,197,,,,False
playsound,,$flashback,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0,198,,,,False
delay,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,0,199,,,,False
blocker,,,,,,,,,,,0.3,true,,,,,,,,1,255,255,255,,,,,,,,,,0,200,,,,False
blocker,,,,,,,,,,,0.5,true,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
