command,text_orig,key,is_skippable,fit_mode,screenadapt,image,fadetime,block,time,intro,volume,crossfade,delay,name,a,r,g,b,options,values,references,width,height,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,option_number,index,text,jp_text,jp_name,text_match
name,喂！,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,167,喂！,おい！,スワイヤー,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,168,,,,False
name,我认同你的看法，阿米娅，为龙门而战确实能团结起各种各样的人——那些投向整合运动的除外。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,169,我认同你的看法，阿米娅，为龙门而战确实能团结起各种各样的人——那些投向整合运动的除外。,君の考えは理解するよ、アーミヤ。龍門のために戦うことで、確かに多くの人が団結できる――ただし統合運動に走った者は別だ。,チェン,True
name,但想要在龙门生活，又是另一件事。我不认为时间能改变一切。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,170,但想要在龙门生活，又是另一件事。我不认为时间能改变一切。,だが、龍門で生活するのはまた別の話だ。私は時がすべてを変えられるとは思わない。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,171,,,,False
name,当然不能。是我们去改变一切。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,172,当然不能。是我们去改变一切。,もちろん変えられません。私たち自身がすべてを変えるのです。,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,173,,,,False
name,这种想法太天真了。感染者和普通人之间有着巨大的隔阂。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,174,这种想法太天真了。感染者和普通人之间有着巨大的隔阂。,それは甘い考えだ。感染者と一般人の間には深い溝がある。,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,175,,,,False
name,米莎的死，无数感染者的死，这种事由不得我去天真什么，陈长官。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,176,米莎的死，无数感染者的死，这种事由不得我去天真什么，陈长官。,ミーシャの死、多くの感染者の死を知って、私が甘くなるはずがありません、チェン長官。,アーミヤ,True
name,就是这种隔阂把他们逼上死路。我们难道要让这个隔阂本身，成为我们不应该去消灭隔阂的理由？,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,177,就是这种隔阂把他们逼上死路。我们难道要让这个隔阂本身，成为我们不应该去消灭隔阂的理由？,そんな溝こそが彼らを行き場のない死へと追い込んでいるのです。その溝のせいで溝をなくさなくていいという理由にはなりません。,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#1,,,,,,,,,,,,,,,,,,0,178,,,,False
name,......,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,179,......,……,チェン,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,180,,,,False
name,希望陈长官能真的理解......为什么我们罗德岛的感染者与非感染者，会为龙门而战。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,181,希望陈长官能真的理解......为什么我们罗德岛的感染者与非感染者，会为龙门而战。,チェン長官には、なぜ私たちロドスの感染者と非感染者が龍門のために戦うのか、ぜひ理解していただきたいです……,アーミヤ,True
name,来了。陈长官。,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,182,来了。陈长官。,来ました。チェン長官。,アーミヤ,True
character,,,,,,,,,,,,,,char_010_chen_1#5,,,,,,,,,,,,,,,,,,0,183,,,,False
name,准备战斗。,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,184,准备战斗。,戦闘の準備を。,チェン,True
stopmusic,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,0,185,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,186,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,187,,,,False
blocker,,,,,,,1,true,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,188,,,,False
blocker,,,,,,,1,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,189,,,,False
playmusic,,$mist_loop,,,,,,,,$mist_intro,0.8,1.5,0.5,,,,,,,,,,,,,,,,,,,0,190,,,,False
character,,,,,,,,,,,,,,avg_npc_016,,,,,,,,,,,,,,,,,,0,191,,,,False
name,埋伏圈！近卫局正在缩小包围圈！,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,192,埋伏圈！近卫局正在缩小包围圈！,待ち伏せだ！近衛局が包囲網を狭めてきている！,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,1,,,,,,,0,193,,,,False
name,向贫民区方向突破。虽然我们没有弑君者的音信......但贫民区依然是我们唯一的出口。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,194,向贫民区方向突破。虽然我们没有弑君者的音信......但贫民区依然是我们唯一的出口。,貧民区の方向へ突破する。君主殺しの連絡はないが……貧民街が唯一の脱出口だ。,ファウスト,True
name,带他走。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,195,带他走。,彼を連れて行け。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,2,,,,,,,0,196,,,,False
name,那你怎么办？,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,197,那你怎么办？,じゃあ、お前はどうする？,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,1,,,,,,,0,198,,,,False
name,我和几支小队已经诱导了......“牧群”......聚向这里。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,199,我和几支小队已经诱导了......“牧群”......聚向这里。,俺はいくつかの小隊と共に……“群れ”をここに誘導した。,ファウスト,True
name,他们不会攻击我。利用这个特性，我可以和他们一起战斗。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,200,他们不会攻击我。利用这个特性，我可以和他们一起战斗。,やつらは俺を攻撃しない。この特性を利用して、俺はやつらと一緒に戦える。,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201,,,,False
name,轰炸他们的阵线！,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,202,轰炸他们的阵线！,やつらの陣形を爆撃しろ！,近衛局隊員,True
name,我们撑不了多久！,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,203,我们撑不了多久！,もう長くは持たないぞ！,統合運動隊員,True
camerashake,,,,,,,,false,,,,,,,,,,,,,,,,,,1,8,6,30,90,true,0,204,,,,False
name,呃......呃啊！！,,,,,,,,,,,,,牧群,,,,,,,,,,,,,,,,,,0,205,呃......呃啊！！,う……うぁ！！,群れ,True
name,有特殊感染者！小心！,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,206,有特殊感染者！小心！,特殊感染者だ！気をつけろ！,近衛局隊員,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,207,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,208,,,,False
blocker,,,,,,,0.5,true,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,209,,,,False
blocker,,,,,,,0.5,true,,,,,,,0,0,0,0,,,,,,,,,,,,,,0,210,,,,False
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,2,,,,,,,0,211,,,,False
name,......你要殿后？,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,212,......你要殿后？,……殿を務めるつもりか？,ファントムクロスボウ,True
name,你会一去无回。,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,213,你会一去无回。,戻れなくなるぞ。,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,1,,,,,,,0,214,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,215,......,……,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,216,,,,False
name,唔唔，唔！！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,217,唔唔，唔！！,うう、うっ！！,メフィスト,True
character,,,,,,,,,,,,,,avg_npc_016,,,,,,,,,,,,,,,,,,0,218,,,,False
name,......,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,219,......,……,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,1,,,,,,,0,220,,,,False
name,让他说吧。现在这个样子，他没法施术。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,221,让他说吧。现在这个样子，他没法施术。,彼にしゃべらせてやれ。今の状態じゃ、術は使えない。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,,0,222,,,,False
name,你要做什么！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,223,你要做什么！,何をするつもりだ！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,char_1508_Faust_1#1,2,,,,,,,0,224,,,,False
name,梅菲斯特......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,225,梅菲斯特......,メフィスト……,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,,0,226,,,,False
name,你要做什么！你要做什么！！回来！不要，不要！快回来！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,227,你要做什么！你要做什么！！回来！不要，不要！快回来！,何をする気だ！何をするんだ！！戻って！やめろ！戻れ！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,char_1508_Faust_1#1,2,,,,,,,0,228,,,,False
name,你说过，无论我要你做什么，你都会去做。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,229,你说过，无论我要你做什么，你都会去做。,お前は言ったな、俺が何をしても従うと。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,,0,230,,,,False
name,萨沙！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,231,萨沙！,サーシャ！,メフィスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,char_1508_Faust_1#1,2,,,,,,,0,232,,,,False
name,你也说过，你不想做出自己的选择。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,233,你也说过，你不想做出自己的选择。,お前も言ったな、自分で選択はしたくないと。,ファウスト,True
name,只是，如果你真的有了自己的想法，想要去追随什么，我......不会责怪你选了什么。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,234,只是，如果你真的有了自己的想法，想要去追随什么，我......不会责怪你选了什么。,けど、もしもお前が本当に自分の意思を持ち、何かを追いたいと思ったなら……俺はお前の選択を責めない。,ファウスト,True
name,如果是那样的话......梅菲斯特，那样，真好。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,235,如果是那样的话......梅菲斯特，那样，真好。,それなら……メフィスト、よかったんだ。,ファウスト,True
name,不过......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,236,不过......,でも……,ファウスト,True
name,我已经没有选择的余地了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,237,我已经没有选择的余地了。,もう俺には選択の余地がない。,ファウスト,True
name,接下来我说的这些，会是我最后一个愿望。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,238,接下来我说的这些，会是我最后一个愿望。,これから話すのが俺の最後の願いだ。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,,0,239,,,,False
name,......萨沙？你在说什么，我不懂！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,240,......萨沙？你在说什么，我不懂！,……サーシャ？何を言ってるかわからないよ！,メフィスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,241,,,,False
name,别让他们走！击杀他们的指挥核心！,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,242,别让他们走！击杀他们的指挥核心！,逃がすな！指揮中枢を撃て！,近衛局隊員,True
character,,,,,,,,,,,,,,char_367_swllow_1,,,,,,,,,,,,,,,,,,0,243,,,,False
name,啊......！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,244,啊......！,あ……！,グレイソー,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,245,,,,False
name,......罗德岛的燕子？,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,246,......罗德岛的燕子？,……ロドスのツバメか？,ファウスト,True
name,（口型：你该扣下扳机了。）,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,247,（口型：你该扣下扳机了。）,（口の動き：引き金を引け。）,ファウスト,True
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,248,,,,False
name,小心，卧倒！火力太猛了，我们在被两面夹击！,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,249,小心，卧倒！火力太猛了，我们在被两面夹击！,気をつけろ、伏せろ！火力が強すぎる、両側から挟まれてるぞ！,近衛局隊員,True
name,——！,,,,,,,,,,,,,灰喉,,,,,,,,,,,,,,,,,,0,250,——！,――！,グレイソー,True
name,罗德岛的弩手，先后撤！这条通道就是为了这时候准备的！,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,0,251,罗德岛的弩手，先后撤！这条通道就是为了这时候准备的！,ロドスのクロスボウ部隊、まず撤退だ！この通路はこの時のためにある！,近衛局隊員,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,2,,,,,,,0,252,,,,False
name,浮士德！后退！,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,253,浮士德！后退！,ファウスト！退け！,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,254,,,,False
name,不。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,255,不。,いや。,ファウスト,True
name,弩手们，我相信霜星正在赶往这里。虽然弑君者下落不明，但她的部队说不定还在龙门贫民区之内。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,256,弩手们，我相信霜星正在赶往这里。虽然弑君者下落不明，但她的部队说不定还在龙门贫民区之内。,クロスボウ部隊、俺は霜星（フロストノヴァ）がここに向かってると信じている。君主殺しは不明だが、彼女の部隊はまだ龍門の貧民区にいるかもしれない。,ファウスト,True
name,如果霜星来了，她会自动获得你们的全权指挥权。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,257,如果霜星来了，她会自动获得你们的全权指挥权。,もし霜星が来たら、君たちは彼女の指揮下に入れ。,ファウスト,True
name,我信任霜星。如果她来了，你们都能幸存。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,258,我信任霜星。如果她来了，你们都能幸存。,俺は霜星を信じている。彼女が来れば皆助かるはずだ。,ファウスト,True
name,还有，我的源石技艺，其实是可以让你们在移动中隐形的。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,259,还有，我的源石技艺，其实是可以让你们在移动中隐形的。,あと、俺の源石術ならお前たちを移動中に不可視にできる。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,2,,,,,,,0,260,,,,False
name,浮士德！我们知道，别用！你的感染器官会破裂的！,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,261,浮士德！我们知道，别用！你的感染器官会破裂的！,ファウスト！分かってる、使うな！お前の感染器官が破裂するぞ！,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,262,,,,False
name,没事。我没有不用的理由了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,263,没事。我没有不用的理由了。,大丈夫だ。もう使わない理由もない。,ファウスト,True
name,命令，撤退。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,264,命令，撤退。,命令だ、撤退しろ。,ファウスト,True
name,......带他一起走。别去切尔诺伯格。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,265,......带他一起走。别去切尔诺伯格。,……彼も一緒に連れていけ。チェルノボーグには行くな。,ファウスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,avg_npc_016,2,,,,,,,0,266,,,,False
name,......浮士德......,,,,,,,,,,,,,幻影弩手,,,,,,,,,,,,,,,,,,0,267,......浮士德......,……ファウスト……,ファントムクロスボウ,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#3,,,,,,,,,,char_1508_Faust_1#1,1,,,,,,,0,268,,,,False
name,你不能这样！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,269,你不能这样！,そんなことしちゃだめだ！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,270,,,,False
name,......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,271,......,……,ファウスト,True
name,我希望哪怕是一个人，你也要活下去。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,272,我希望哪怕是一个人，你也要活下去。,たとえ一人でもいい、生き延びてほしい。,ファウスト,True
name,不要死。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,273,不要死。,死ぬな。,ファウスト,True
name,——这就是我最后一个愿望。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,274,——这就是我最后一个愿望。,――これが俺の最後の願いだ。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,,,,,0,275,,,,False
name,萨沙！！萨沙！！！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,276,萨沙！！萨沙！！！,サーシャ！！サーシャ！！！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,277,,,,False
name,......我不想伤害别人。我也不想被别人伤害。这两件事，我都不想。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,278,......我不想伤害别人。我也不想被别人伤害。这两件事，我都不想。,……俺は誰も傷つけたくないし、自分も傷つきたくない。このふたつは、どちらもしたくない。,ファウスト,True
name,如果可以，当时我们就该逃走。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,279,如果可以，当时我们就该逃走。,できれば、あの時もう逃げるべきだった。,ファウスト,True
name,我们本来......可以逃走。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,280,我们本来......可以逃走。,俺たちは本来……逃げられたはずだった。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,,,,,0,281,,,,False
name,萨沙，你和我说好的，你和我约定好的！你说我们要一起活下去的！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,282,萨沙，你和我说好的，你和我约定好的！你说我们要一起活下去的！,サーシャ、約束しただろう、一緒に生き延びるって！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,283,,,,False
name,太迟了。我......,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,284,太迟了。我......,もう遅い……俺は……,ファウスト,True
name,......已经太累了。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,285,......已经太累了。,……もう疲れ果てた。,ファウスト,True
character,,,,,,,,,,,,,,char_1507_Mephisto_1#4,,,,,,,,,,,,,,,,,,0,286,,,,False
name,萨沙！！！,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,0,287,萨沙！！！,サーシャ！！！！！,メフィスト,True
character,,,,,,,,,,,,,,char_1508_Faust_1#1,,,,,,,,,,,,,,,,,,0,288,,,,False
name,别了，伊诺。,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,0,289,别了，伊诺。,さよなら、イーノ。,ファウスト,True
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,290,,,,False
character,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,291,,,,False
background,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,0,292,,,,False
delay,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,0,293,,,,False
,他将弩矢搭在弩上，上弦。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,294,,,,False
,他瞄准，最后一次。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,295,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,296,,,,False
delay,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0,297,,,,False
blocker,,,,,,,2,true,,,,,,,1,0,0,0,,,,,,,,,,,,,,0,298,,,,False
blocker,,,,,,,0.5,true,,,,,,,,,,,,,,,,,,,,,,,,0,299,,,,False
