command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,time,intro,volume,crossfade,delay,name,name2,focus,a,r,g,b,block,index,text,jp_text,jp_name,text_match
name,再过一些时间，我们就不需要贫民区了。,,,,,,,,,,,,,,诗怀雅,,,,,,,,175,再过一些时间，我们就不需要贫民区了。,もう少しすれば、スラムなんて必要なくなる。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,176,,,,False
name,什么？,,,,,,,,,,,,,,林雨霞,,,,,,,,177,什么？,何だって？,リン・ユウシャ,True
name,虽然感染者的问题我们还没法解决，但我相信......这里可以变成一个更好的地方。,,,,,,,,,,,,,,诗怀雅,,,,,,,,178,虽然感染者的问题我们还没法解决，但我相信......这里可以变成一个更好的地方。,感染者の問題はまだ解決できてはいないけど……ここはもっと良い場所になれると思う。,スワイヤー,True
name,只是龙门的22到29下城区，而不是什么“贫民区”。,,,,,,,,,,,,,,诗怀雅,,,,,,,,179,只是龙门的22到29下城区，而不是什么“贫民区”。,「貧民区」じゃなくて、龍門の22区から29区の下町。,スワイヤー,True
name,这个城市本来就是因为能容纳许许多多、各种各样的人，才发展成现在这个样子的。,,,,,,,,,,,,,,诗怀雅,,,,,,,,180,这个城市本来就是因为能容纳许许多多、各种各样的人，才发展成现在这个样子的。,この都市はもともと、さまざまな人々を受け入れて成長してきたからこそ今の姿になったんだ。,スワイヤー,True
name,龙门不能失去任何人。,,,,,,,,,,,,,,诗怀雅,,,,,,,,181,龙门不能失去任何人。,龍門は誰一人失ってはいけない。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,182,,,,False
name,......无聊。你变得和那个陈一样无聊。,,,,,,,,,,,,,,林雨霞,,,,,,,,183,......无聊。你变得和那个陈一样无聊。,……つまらない。あなたもあのチェンと同じでつまらなくなった。,リン・ユウシャ,True
name,雨霞......,,,,,,,,,,,,,,诗怀雅,,,,,,,,184,雨霞......,雨霞……,スワイヤー,True
name,哎，我不想把气氛搞得像是垃圾终端连续剧一样。,,,,,,,,,,,,,,诗怀雅,,,,,,,,185,哎，我不想把气氛搞得像是垃圾终端连续剧一样。,はあ、雰囲気がくだらない三流ドラマみたいになるのは嫌だな。,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,186,,,,False
name,那支整合运动的位置在哪？,,,,,,,,,,,,,,林雨霞,,,,,,,,187,那支整合运动的位置在哪？,その整合運動の隊はどこにいる？,リン・ユウシャ,True
name,啊，啊？,,,,,,,,,,,,,,诗怀雅,,,,,,,,188,啊，啊？,あ、あれ？,スワイヤー,True
character,,,,,,,,,,,,,,,avg_npc_036,,,,,,,,189,,,,False
name,我不会说第二次的。,,,,,,,,,,,,,,林雨霞,,,,,,,,190,我不会说第二次的。,二度は言わないぞ。,リン・ユウシャ,True
blocker,,,,,,,,,2,,,,,,,,,1,0,0,0,true,191,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,0.4,,,,,,,,,,,192,,,,False
name,阿米娅，你们已经进入贫民区了吗？,,,,,,,,,,,,,,陈,,,,,,,,193,阿米娅，你们已经进入贫民区了吗？,アーミヤ、君たちはもうスラムに入ったか？,チェン,True
name,现在的情况十分特殊。你们应该知情。,,,,,,,,,,,,,,陈,,,,,,,,194,现在的情况十分特殊。你们应该知情。,今の状況は非常に特殊だ。君たちも知っておくべきだ。,チェン,True
delay,,,,,,,,,,0.6,,,,,,,,,,,,,195,,,,False
dialog,,,,,,,,,2,,,,,,,,,,,,,,196,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,197,,,,False
