command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,image,fadetime,screenadapt,name,name2,focus,time,duration,xstrength,ystrength,vibrato,randomness,fadeout,index,text,jp_text,jp_name,text_match
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,188,,,,False
name,是的。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,189,是的。,はい。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,190,,,,False
name,那么暂时地，近卫局确实需要你们一点小小的帮助。,,,,,,,,,,,,,,,,陈,,,,,,,,,,191,那么暂时地，近卫局确实需要你们一点小小的帮助。,それなら一時的に、近衛局が少しだけ君たちの助けを借りることになる。,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,192,,,,False
name,啊。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,193,啊。,あっ。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,194,,,,False
name,整合运动封锁了接泊区域的主干道。我需要打开一个缺口。近卫局的时间不多，请各位争分夺秒。,,,,,,,,,,,,,,,,陈,,,,,,,,,,195,整合运动封锁了接泊区域的主干道。我需要打开一个缺口。近卫局的时间不多，请各位争分夺秒。,レユニオンが接泊エリアの幹線道路を封鎖した。私は突破口を開ける必要がある。近衛局には時間がない、皆一刻を争ってくれ。,チェン,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,2,,,,,,,,196,,,,False
name,这是协议内容，长官，我们义不容辞。,,,,,,,,,,,,,,,,罗德岛干员,,,,,,,,,,197,这是协议内容，长官，我们义不容辞。,これが協定の内容です、長官。私たちも当然協力します。,ロドスオペレーター,True
character,,,,,,,,,,,,,,,,,char_010_chen_1#1,avg_npc_012,1,,,,,,,,198,,,,False
name,那就好。跟我来！,,,,,,,,,,,,,,,,陈,,,,,,,,,,199,那就好。跟我来！,それならいい。ついて来い！,チェン,True
delay,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,200,,,,False
dialog,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,False
blocker,,,,,,,,,true,,,,,,,,,,,,,,,,,,202,,,,False
image,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,False
