command,text_orig,key,is_skippable,fit_mode,image,width,height,screenadapt,fadetime,intro,volume,crossfade,delay,time,name,name2,focus,a,r,g,b,block,xScale,yScale,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,afrom,rfrom,gfrom,bfrom,index,text,jp_text,jp_name,text_match
name,别白费力气了。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,False
name,伤口会愈合，皮肉会硬化，生命会复归。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,False
name,这些人的武器根本没法对抗我的护卫，毕竟他们只是我为长官你一个人准备的。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,False
name,同胞们，起身。别让任何人干扰我和长官之间的谈话。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,,,,False
name,陈sir，整合运动正一波又一波地向我们涌来！常规手段没法击溃他们！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,,,,False
name,可恶，难道他们感觉不到痛苦吗！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,False
name,其他小队也遭遇了相同的状况！徘徊在大楼外的整合运动也开始行动了，他们正冲向大楼，不断地撞击我们刚刚控制住的安保设施！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,False
name,优先处理你们身边的敌人！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,False
character,,,,,,,,,,,,,,,char_015_lmg,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,False
name,给我滚开！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,False
playsound,,$p_imp_blunt_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,1,12,18,30,30,false,,,,,,,,,,,,,181,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#5,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,False
name,陈sir，这些东西根本就没有知觉，近卫局大楼也被彻底包围了！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,,,,False
name,我们被迫进入了肉搏战，没法支援你！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,1,,,,,,,,,,,,,,,,,,,,,,,,,,186,,,,False
name,照顾好你们自己。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#2,char_015_lmg,2,,,,,,,,,,,,,,,,,,,,,,,,,,188,,,,False
name,明白！,,,,,,,,,,,,,,近卫局成员,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#2,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,False
name,很壮观吧？他们历经了太多战斗，意识似乎有些不堪重负了，但他们的肉体依然健康强壮。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,False
name,实力似乎能稍稍弥补一点决策上的失误。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,False
name,至少这样我们就有时间慢慢解决我们之间的问题。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,False
name,我想好好和你谈谈，长官，无关这场战斗。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,False
name,没必要。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,False
name,我会直接解决你。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,False
blocker,,,,,,,,,0.1,,,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,0,0,0,0,198,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,False
blocker,,,,,,,,,1.5,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,,,,,,,200,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,10,12,30,90,true,,,,,,,,,,,,,201,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,true,,,,,,,,,,,,,,,,,,,,,202,,,,False
delay,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,False
blocker,,,,,,,,,0.1,,,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,0,0,0,0,204,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,False
blocker,,,,,,,,,1.5,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,,,,,,,206,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,10,12,30,90,true,,,,,,,,,,,,,207,,,,False
delay,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,False
name,很快！,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,False
character,,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,False
name,......,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,False
name,但还不够。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,,,,1,15,10,30,90,true,,,,,,,,,,,,,215,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,False
blocker,,,,,,,,,0.1,,,,,,,,,1,1,1,1,true,,,,,,,,,,,,,,,,,0,0,0,0,217,,,,False
playsound,,$e_skill_skulsrsword,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,False
blocker,,,,,,,,,1.5,,,,,,,,,0,,,,false,,,,,,,,,,,,,,,,,,,,,219,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,10,12,30,90,true,,,,,,,,,,,,,220,,,,False
camerashake,,,,,,,,,,,,,,,,,,,,,,false,,,1,8,6,30,90,true,,,,,,,,,,,,,221,,,,False
blocker,,,,,,,,,0.02,,,,,,,,,0.7,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,222,,,,False
playsound,,$d_sp_ballista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,False
blocker,,,,,,,,,0.25,,,,,,,,,0,0.95,0.95,0.95,true,,,,,,,,,,,,,,,,,,,,,224,,,,False
name,！,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,False
character,,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,False
name,用剑锋偏移了弩弹？,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,False
character,,,,,,,,,,,,,,,avg_npc_015,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,False
name,——,,,,,,,,,,,,,,梅菲斯特的护卫,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,False
name,预判得很准，黑发小子。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,False
name,嘁，先用狙击阻挠我的行动，适时预测我的行动，然后填上肉盾？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,False
name,抱歉，长官。我大致能估算到你基本上所有的路线，下一步不过是稍加封锁就好。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,,,,False
name,这样一来，你是没法靠近我的。至于尖锐的弩箭、易爆的弩弹、沉重的弩刺，你喜欢哪种？,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,236,,,,False
name,——,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,,,,False
name,也许你准备得确实很周全。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,,,,False
name,只是，一个棋手规划完了整个棋局，他就只能将对方当做异色的棋子而非奇兵。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,239,,,,False
character,,,,,,,,,,,,,,,char_1507_Mephisto_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,False
name,（等等，粉尘怎么会粘在她身上......？）,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,241,,,,False
name,（原来是这样，是这样呀。）,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1#2,1,,,,,,,,,,,,,,,,,,,,,,,,,,243,,,,False
name,我不会像你那样纸上谈兵，我只是有备而来。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,,,,False
name,棋盘不适用于我，小子。我不是谁的棋子，我是龙门的利刃。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,2,,,,,,,,,,,,,,,,,,,,,,,,,,246,,,,False
name,嗯......,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,,,,False
name,勇敢和莽撞虽然接近，却依然留有一线之隔。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,,,,False
name,或者，你是想使用自己的底牌了？我似乎还没见你在战斗里使用另一把剑。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,False
name,那不是把装饰品，对吧。,,,,,,,,,,,,,,梅菲斯特,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,char_1507_Mephisto_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,251,,,,False
name,呵。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,,,,False
name,这把剑根本不是用来对付你这种人的。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,,,,False
name,无论如何，你们都不值得我拔出这把剑。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,,,,False
name,只是，你们确实该付出代价了，为了你们对龙门、对切尔诺伯格所有无辜者所做的一切。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,False
character,,,,,,,,,,,,,,,char_1508_Faust_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,,,,False
name,......,,,,,,,,,,,,,,浮士德,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#4,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,,False
name,此时，此刻。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,False
blocker,,,,,,,,,1,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,260,,,,False
blocker,,,,,,,,,1,,,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,261,,,,False
name,它是你的了。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,False
name,我不需要。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,,,,False
name,就当成我暂时借给你的吧。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,264,,,,False
name,你不害怕？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,False
name,害怕你会对我兵刃相向？,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,,,,False
name,对。,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,267,,,,False
name,不，我不怕。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,268,,,,False
name,为什么？,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,,False
name,因为我没那么怕死。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,,,False
name,......,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,,,,False
name,这不是把庸常武器，你会慢慢理解它的。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,272,,,,False
name,平日里勿要挥霍它的煞气。斩龙之剑当有出鞘的价值。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,,,,False
name,该向谁出剑，就由你自己选择。,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,,,,False
character,,,,,,,,,1,,,,,,char_010_chen_1#5,,,,,,,true,,,,,,,,,,,,,,,,,,,,,275,,,,False
name,（......竟然还在蛰伏。）,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,,,,False
name,（即使是这种时候也依然不肯出鞘吗。）,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,,,False
character,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,,,,,,,,,,,278,,,,False
name,（但现在，赤霄，你必须饮血！）,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,,,,,,,,,,,279,,,,False
blocker,,,,,,,,,2,,,,,,,,,1,0,0,0,true,,,,,,,,,,,,,,,,,,,,,280,,,,False
image,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,,,,False
blocker,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,283,,,,False
