command,text_orig,key,is_skippable,fit_mode,a,r,g,b,block,intro,volume,crossfade,delay,screenadapt,image,width,height,fadetime,name,name2,focus,time,index,text,jp_text,jp_name,text_match
name,我爷爷到现在还趟在病床上，他连话都说不清！,,,,,,,,,,,,,,,,,,诗怀雅,,,,184,我爷爷到现在还趟在病床上，他连话都说不清！,うちのおじいちゃんは今も病床にいて、ろくに話もできないんだよ！,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#6,char_010_chen_1#2,2,,185,,,,False
name,难道疾病就能阻止他操作龙门？你祖父是什么人，你比我清楚！,,,,,,,,,,,,,,,,,,陈,,,,186,难道疾病就能阻止他操作龙门？你祖父是什么人，你比我清楚！,病気で龍門の操縦をやめると思うか？君の祖父のことは君の方がよく知ってるだろう！,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#6,char_010_chen_1#2,1,,187,,,,False
name,绝对不可能！,,,,,,,,,,,,,,,,,,诗怀雅,,,,188,绝对不可能！,絶対にあり得ない！,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#2,1,,189,,,,False
name,......但......,,,,,,,,,,,,,,,,,,诗怀雅,,,,190,......但......,……でも……,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,191,,,,False
name,你想说谁？,,,,,,,,,,,,,,,,,,陈,,,,192,你想说谁？,誰のことを言ってるんだ？,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,193,,,,False
name,“灰色的林”。,,,,,,,,,,,,,,,,,,诗怀雅,,,,194,“灰色的林”。,「灰色のリン」。,シュワイヤー,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,2,,195,,,,False
name,哼，现在“不可能”这三个字，该轮到我来说了。林视整个贫民区如己出，怎么会允许这种事发生？,,,,,,,,,,,,,,,,,,陈,,,,196,哼，现在“不可能”这三个字，该轮到我来说了。林视整个贫民区如己出，怎么会允许这种事发生？,ふん、今度は「あり得ない」って言うのは私の番だ。リンはスラム街を自分のもののように大事に思っていたのに、こんなことを許すはずがない。,チェン,True
character,,,,,,,,,,,,,,,,,,,char_308_swire_1#5,char_010_chen_1#1,1,,197,,,,False
name,打个电话问问，也许就知道了。,,,,,,,,,,,,,,,,,,诗怀雅,,,,198,打个电话问问，也许就知道了。,電話して聞けば分かるかもね。,シュワイヤー,True
name,你来？还是我来？,,,,,,,,,,,,,,,,,,诗怀雅,,,,199,你来？还是我来？,君がやる？それとも私がやる？,シュワイヤー,True
delay,,,,,,,,,,,,,,,,,,,,,,0.3,200,,,,False
blocker,,,,,,,,,true,,,,,,,,,2,,,,,201,,,,False
