command,text_orig,key,is_skippable,fit_mode,screenadapt,image,width,height,fadetime,intro,volume,crossfade,delay,time,name,a,r,g,b,block,name2,duration,xstrength,ystrength,vibrato,randomness,initr,focus,channel,x,y,xScale,yScale,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,fadeout,stop,index,text,jp_text,jp_name,text_match
blocker,,,,,,,,,1,,,,,,,0,,,,true,,,,,,,,,,,,,,,,,,,,,,,,178,,,,False
character,,,,,,,,,,,,,,,char_016_medic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,False
name,——啊！,,,,,,,,,,,,,,医疗干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,——啊！,――あっ！,医療オペレーター,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,char_013_riop,,,,,,,1,,,,,,,,,,,,,,,,181,,,,False
name,保护医生，快带她去安全的地方！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,保护医生，快带她去安全的地方！,ドクターを守って、早く安全な場所へ連れて行って！,アーミヤ,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,char_013_riop,,,,,,,2,,,,,,,,,,,,,,,,183,,,,False
name,明白！,,,,,,,,,,,,,,近卫干员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,明白！,了解！,前衛オペレーター,True
character,,,,,,,,,,,,,,,char_014_riope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,False
name,干员们，各自寻找安全位置！,,,,,,,,,,,,,,Ace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,干员们，各自寻找安全位置！,オペレーターたち、それぞれ安全な場所を探せ！,エース,True
character,,,,,,,,,,,,,,,char_002_amiya_1#7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,False
name,各小队！准备好......应对天灾！,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188,各小队！准备好......应对天灾！,各分隊！天災に備える準備を！,アーミヤ,True
playsound,,$d_gen_thunders_amb,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,False
delay,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,False
blocker,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,191,,,,False
