command,text_orig,key,is_skippable,fit_mode,a,r,g,b,fadetime,block,image,screenadapt,intro,volume,crossfade,delay,time,name,duration,xstrength,ystrength,vibrato,randomness,fadeout,name2,focus,options,values,references,x,y,xScale,yScale,width,height,option_number,index,text,jp_text,jp_name,text_match
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,183,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#1,,,,,,,,,,,,,,,,,,0,184,,,,False
name,......我会联系煌，让她保护你。会合前这一小段时间，也麻烦你，照看一下煌。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,185,,,,False
decision,照看她？你是不是对我有什么误会？,,,,,,,,,,,,,,,,,,,,,,,,,,照看她？你是不是对我有什么误会？;......;这是我第一次知道我甚至有能力保护精英干员。,1;2;3,,,,,,,,3,186,,,,False
decision,这是我第一次知道我甚至有能力保护精英干员。,,,,,,,,,,,,,,,,,,,,,,,,,,照看她？你是不是对我有什么误会？;......;这是我第一次知道我甚至有能力保护精英干员。,1;2;3,,,,,,,,3,187,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,照看她？你是不是对我有什么误会？;......;这是我第一次知道我甚至有能力保护精英干员。,1;2;3,,,,,,,,3,188,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,189,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#3,,,,,,,,,,,,,,,,,,0,190,,,,False
name,啊......不是说武力上的！是说心理上的那种照看。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,191,,,,False
name,有些时候，罗德岛必须与感染者作战。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,192,,,,False
name,尤其是现在。我们和龙门间的合作已经出现了一些隔阂。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,193,,,,False
name,虽然煌是罗德岛赖以生存的精英作战干员之一，心理要素却也会在一定程度上影响她的发挥。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,194,,,,False
name,正因为她坚定地站在我们这边，感染者的遭遇才更有可能左右她的情感状态。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,195,,,,False
name,趁这个机会，博士也可以好好了解下她。,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,196,,,,False
name,和她多说些感谢的话，比如说，“谢谢你在废城救了我们”之类的，她会很受用的！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,197,,,,False
decision,我知道了！,,,,,,,,,,,,,,,,,,,,,,,,,,我知道了！;......;真有这个必要吗？,1;2;3,,,,,,,,3,198,,,,False
decision,......,,,,,,,,,,,,,,,,,,,,,,,,,,我知道了！;......;真有这个必要吗？,1;2;3,,,,,,,,3,199,,,,False
decision,真有这个必要吗？,,,,,,,,,,,,,,,,,,,,,,,,,,我知道了！;......;真有这个必要吗？,1;2;3,,,,,,,,3,200,,,,False
predicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1;2;3,,,,,,,0,201,,,,False
character,,,,,,,,,,,,,,,,,,char_002_amiya_1#2,,,,,,,,,,,,,,,,,,0,202,,,,False
name,我绝对相信博士你的能力！去啦，快去吧！,,,,,,,,,,,,,,,,,阿米娅,,,,,,,,,,,,,,,,,,0,203,,,,False
blocker,,,,,1,0,0,0,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,204,,,,False
background,,,,,,,,,,,bg_uptown_2,coverall,,,,,,,,,,,,,,,,,,,,,,,,0,205,,,,False
blocker,,,,,0,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,206,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,207,,,,False
character,,,,,,,,,1,true,,,,,,,,char_308_swire_1#5,,,,,,,,,,,,,,,,,,0,208,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,209,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0,210,,,,False
name,他们的主力部队正在和我们的其他队伍交战！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,211,,,,False
name,我们会比整合运动更快到达目标地点，加入包围网的组建！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,212,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,213,,,,False
name,和他们这么说，“但现在，我们首先要消灭其他还没和主力部队汇合的整合运动。”,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,214,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,215,,,,False
name,好，没问题！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,216,,,,False
name,就按刚才通讯里陈警司说得那样做！通讯完毕！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,217,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0,218,,,,False
delay,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,219,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,220,,,,False
name,我们有多久没并肩作战过了？,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,221,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,222,,,,False
name,现在也不叫“并肩作战”。这该叫“不得已的合作”。你是怎么从废城回来的？,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,223,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,224,,,,False
name,我当然有自己的机动配给啦，否则怎么去救罗德岛？你是不是在闹别扭啊，一副气鼓鼓的样子。,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,225,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,226,,,,False
name,嗯，让我想想。,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,227,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,228,,,,False
name,居然还要搜肠刮肚找理由，你这明显是没事找事......,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,229,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,230,,,,False
name,啊，对。背着我营救罗德岛这件事，你可以私下里告知我。,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,231,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,232,,,,False
name,你是觉得脸上无光，还是觉得自己被蒙在鼓里了？,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,233,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,234,,,,False
name,都有。,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,235,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,1,,,,,,,,,,0,236,,,,False
name,......怎么回事，你什么时候变这么坦诚了？我以前认识的陈警官，嘴上可是要绕好几圈——,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,237,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#5,,,,,,,char_010_chen_1#1,2,,,,,,,,,,0,238,,,,False
name,来了！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,239,,,,False
playsound,,$d_gen_soldiersrun,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,0,240,,,,False
character,,,,,,,,,1,true,,,,,,,,char_1002_nsabr_1,,,,,,,char_1002_nsabr_1,,,,,,,,,,,0,241,,,,False
delay,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,0,242,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,,,,,,,,0,243,,,,False
name,近卫局防御小队，举盾！放心，就和之前无数次战斗一样，你们的身后，永远会有队友撑住你们！顶好！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,244,,,,False
character,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,245,,,,False
name,十步！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,246,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,,,,,,,,0,247,,,,False
name,弩队，上弦！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,248,,,,False
character,,,,,,,,,,,,,,,,,,char_1002_nsabr_1,,,,,,,char_1002_nsabr_1,,,,,,,,,,,0,249,,,,False
name,这段路也被封锁了？不行......我们没地方可去了！只能从这里走！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,250,,,,False
name,别怕，我们冲过去！跟我上！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,251,,,,False
character,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,252,,,,False
name,五步！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,253,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,,,,,,,,0,254,,,,False
name,攻击手，就位！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,255,,,,False
name,冲散他们！,,,,,,,,,,,,,,,,,整合运动成员,,,,,,,,,,,,,,,,,,0,256,,,,False
character,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,257,,,,False
name,——现在！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,258,,,,False
character,,,,,,,,,,,,,,,,,,char_308_swire_1#6,,,,,,,,,,,,,,,,,,0,259,,,,False
name,批次一弩手，射击！,,,,,,,,,,,,,,,,,诗怀雅,,,,,,,,,,,,,,,,,,0,260,,,,False
character,,,,,,,,,,,,,,,,,,char_010_chen_1#2,,,,,,,,,,,,,,,,,,0,261,,,,False
name,长枪队，长枪起！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,262,,,,False
name,不许哪怕一个整合运动逃出龙门！,,,,,,,,,,,,,,,,,陈,,,,,,,,,,,,,,,,,,0,263,,,,False
blocker,,,,,1,0,0,0,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,264,,,,False
stopmusic,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,265,,,,False
background,,,,,,,,,,,bg_lungmen_o,coverall,,,,,,,,,,,,,,,,,,,,,,1,1,0,266,,,,False
blocker,,,,,0,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,267,,,,False
playsound,,$d_gen_transmissionget,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,0,268,,,,False
character,,,,,,,,,,,,,,,,,,char_2005_weiyw_1,,,,,,,,,,,,,,,,,,0,269,,,,False
name,你们已经就位了？,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,270,,,,False
name,对，没错。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,271,,,,False
name,我知道。只是，近卫局有他们该做的事，你们有你们该做的，这不算越俎代庖。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,272,,,,False
name,确实。林舸瑞是很反对。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,273,,,,False
name,但这件事，由不得他！,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,274,,,,False
name,......,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,275,,,,False
name,各方的意见我都收到了。我们没有选择余地，这也是无奈之举。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,276,,,,False
name,舸瑞的女儿会联络你们。此后三周以内，绝不要联系我，一切信息交她保管。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,277,,,,False
name,就交给你们了。不用担心身后，我会一直看着你们。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,278,,,,False
name,......不必再用这个称呼。往事只是往事，我与往事再无瓜葛。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,279,,,,False
name,嗯，望龙门长治久安。,,,,,,,,,,,,,,,,,魏彦吾,,,,,,,,,,,,,,,,,,0,280,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,281,,,,False
blocker,,,,,0,,,,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,282,,,,False
name,老魏，我们是那个......你们怎么说来着，结义兄弟？,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,283,,,,False
name,所以，她和我女儿，拜托你了。,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,284,,,,False
name,哎，感觉和你说这些是多此一举。你总不能连自己的妹妹也照顾不好吧？,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,285,,,,False
name,女儿的名字我已经取好了，就叫......,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,286,,,,False
name,......塔露拉。,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,287,,,,False
name,别太放在心上。我全明白。,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,288,,,,False
name,我全都明白。,,,,,,,,,,,,,,,,,？？？,,,,,,,,,,,,,,,,,,0,289,,,,False
delay,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,0,290,,,,False
blocker,,,,,1,0,0,0,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,0,291,,,,False
