command,text_orig,key,is_skippable,fit_mode,intro,volume,crossfade,delay,time,name,fadetime,block,a,r,g,b,screenadapt,image,name2,focus,duration,xstrength,ystrength,vibrato,randomness,fadeout,xFrom,yFrom,xTo,yTo,xScaleFrom,yScaleFrom,xScaleTo,yScaleTo,index,text,jp_text,jp_name,text_match
image,,,,,,,,,,,,,,,,,coverall,bg_5_3end2,,,,,,,,,,,,,,,,,169,,,,False
blocker,,,,,,,,,,,2,true,0,,,,,,,,,,,,,,,,,,,,,,170,,,,False
name,大姐，我做得好吗？,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,171,大姐，我做得好吗？,姉さん、俺、うまくやれたか？」,情報屋,True
name,还不够。你得活下来才算做得好。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,172,还不够。你得活下来才算做得好。,まだ足りない。生き延びてこそ、本当にやり遂げたことになる。,星熊,True
name,对唔住，哈哈......能被大姐背一回，我已经值了。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,173,对唔住，哈哈......能被大姐背一回，我已经值了。,すまなかった、ハハ……姉さんに一度でも背負ってもらえたなら、それだけで十分だ。,情報屋,True
name,你想去哪？你从来都不肯告诉我你是从哪来的。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,174,你想去哪？你从来都不肯告诉我你是从哪来的。,どこへ行きたい？お前は決して自分の出身地を私に教えようとしなかったな。,星熊,True
name,就龙门。其实吧，我根本没去过其他城市。如果可以的话，把我的骨灰埋在以前那个地方就行。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,175,就龙门。其实吧，我根本没去过其他城市。如果可以的话，把我的骨灰埋在以前那个地方就行。,龍門だよ。実は、他の都市に行ったことはないんだ。できれば、昔のあの場所に俺の遺灰を埋めてくれ。,情報屋,True
name,总坛？可......那地方已经彻底荒废了。一塌糊涂，我都不知道该怎么打扫。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,176,总坛？可......那地方已经彻底荒废了。一塌糊涂，我都不知道该怎么打扫。,本部か？でも……あそこはすっかり荒れ果てている。ひどい有様で、どう片付けたらいいかもわからん。,星熊,True
name,没关系的。只要和其他人......放在一起。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,177,没关系的。只要和其他人......放在一起。,大丈夫だ。他のみんなと……一緒にしてくれればそれでいい。,情報屋,True
name,好。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,178,好。,わかった。,星熊,True
name,大姐......虽然我们一直都怕你，但我们其实......都撑你。,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,179,大姐......虽然我们一直都怕你，但我们其实......都撑你。,姉さん……ずっと怖がってたけど、本当は……みんなあんたの味方だ。,情報屋,True
name,一直......都......撑你......,,,,,,,,,线人,,,,,,,,,,,,,,,,,,,,,,,,,180,一直......都......撑你......,ずっと……ずっと……みんな……味方だよ……,情報屋,True
name,我也是。,,,,,,,,,星熊,,,,,,,,,,,,,,,,,,,,,,,,,181,我也是。,私もだ。,星熊,True
delay,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,182,,,,False
blocker,,,,,,,,,,,2,true,,,,,,,,,,,,,,,,,,,,,,,183,,,,False
